"chr","start","end","width"
"1","  7942727","  7954290","    11564"
"1","  7985506","  7991133","     5628"
"1","  8005313","  8026737","    21425"
"1","  8122703","  8189823","    67121"
"1","  8194927","  8201517","     6591"
"1","  8215211","  8318113","   102903"
"1","  8344168","  8424644","    80477"
"1","  8435014","  8512652","    77639"
"1","  8513022","  8750429","   237408"
"1","  8751088","  8798474","    47387"
"1","  8799507","  8831006","    31500"
"1","  8831376","  8878834","    47459"
"1","  8879895","  8893408","    13514"
"1","  8894152","  8909741","    15590"
"1","  8909905","  8945866","    35962"
"1","  8975093","  9082695","   107603"
"1","  9082880","  9182003","    99124"
"1","  9196285","  9234773","    38489"
"1","  9271338","  9292893","    21556"
"1","  9369533","  9539464","   169932"
"1","  9585174","  9588910","     3737"
"1","  9614878","  9651730","    36853"
"1","  9729115","  9780821","    51707"
"1","  9781241","  9848317","    67077"
"1","  9850155","  9900613","    50459"
"1","  9908035","  9942922","    34888"
"1","  9985502","  9997205","    11704"
"1"," 10016022"," 10032831","    16810"
"1"," 10181240"," 10210569","    29330"
"1"," 10381604"," 10395415","    13812"
"1"," 10397433"," 10398591","     1159"
"1"," 10420512"," 10430101","     9590"
"1"," 10452154"," 10458554","     6401"
"1"," 10459339"," 10472287","    12949"
"1"," 10630759"," 10639240","     8482"
"1"," 10654334"," 10895760","   241427"
"1"," 10895999"," 11012343","   116345"
"1"," 11030529"," 11068470","    37942"
"1"," 11073098"," 11099429","    26332"
"1"," 11102101"," 11143897","    41797"
"1"," 11149538"," 11152349","     2812"
"1"," 11152453"," 11189354","    36902"
"1"," 11195982"," 11226253","    30272"
"1"," 11226361"," 11232962","     6602"
"1"," 11233113"," 11273197","    40085"
"1"," 11296050"," 11479154","   183105"
"1"," 11537552"," 11609467","    71916"
"1"," 11613359"," 11623557","    10199"
"1"," 11643417"," 11654374","    10958"
"1"," 11663328"," 11664199","      872"
"1"," 11674355"," 11691709","    17355"
"1"," 11725858"," 11736083","    10226"
"1"," 11754803"," 11761786","     6984"
"1"," 11789586"," 11806095","    16510"
"1"," 11848080"," 11877769","    29690"
"1"," 11880407"," 11907939","    27533"
"1"," 11914299"," 11934204","    19906"
"1"," 11975539"," 11980180","     4642"
"1"," 12015212"," 12019465","     4254"
"1"," 12032046"," 12063302","    31257"
"1"," 12144208"," 12166942","    22735"
"1"," 12209229"," 12230029","    20801"
"1"," 12512048"," 12525737","    13690"
"1"," 12530463"," 12618388","    87926"
"1"," 12618988"," 12644084","    25097"
"1"," 12667077"," 12692908","    25832"
"1"," 12693021"," 12716109","    23089"
"1"," 12728761"," 12746199","    17439"
"1"," 12763700"," 12773737","    10038"
"1"," 12777907"," 12791396","    13490"
"1"," 12796629"," 12857085","    60457"
"1"," 12861910"," 12916609","    54700"
"1"," 12920483"," 12922553","     2071"
"1"," 12922661"," 12926161","     3501"
"1"," 12928254"," 13029338","   101085"
"1"," 13032131"," 13060768","    28638"
"1"," 13062879"," 13068676","     5798"
"1"," 13077885"," 13128817","    50933"
"1"," 13131616"," 13171847","    40232"
"1"," 13179460"," 13245862","    66403"
"1"," 13248653"," 13254211","     5559"
"1"," 13263315"," 13303538","    40224"
"1"," 13308908"," 13315580","     6673"
"1"," 13322599"," 13324038","     1440"
"1"," 13324519"," 13389631","    65113"
"1"," 13392630"," 13416350","    23721"
"1"," 13421329"," 13513219","    91891"
"1"," 13516271"," 13555000","    38730"
"1"," 13555695"," 13583464","    27770"
"1"," 13617958"," 13700187","    82230"
"1"," 13825080"," 13892791","    67712"
"1"," 15118044"," 15152531","    34488"
"1"," 15220479"," 15226372","     5894"
"1"," 15227550"," 15236520","     8971"
"1"," 15400284"," 15409887","     9604"
"1"," 15430340"," 15438441","     8102"
"1"," 15449243"," 15456727","     7485"
"1"," 15491396"," 15526812","    35417"
"1"," 15592380"," 15604596","    12217"
"1"," 15605044"," 15617457","    12414"
"1"," 15669045"," 15684319","    15275"
"1"," 15734770"," 15736257","     1488"
"1"," 15741393"," 15742498","     1106"
"1"," 15747983"," 15756606","     8624"
"1"," 15786595"," 15792795","     6201"
"1"," 15793286"," 15828231","    34946"
"1"," 15828670"," 15836094","     7425"
"1"," 15940457"," 15969631","    29175"
"1"," 15970195"," 15988181","    17987"
"1"," 15988442"," 15989870","     1429"
"1"," 15994752"," 16004235","     9484"
"1"," 16008808"," 16018874","    10067"
"1"," 16034051"," 16040251","     6201"
"1"," 16057312"," 16155175","    97864"
"1"," 16158149"," 16159265","     1117"
"1"," 16161884"," 16197853","    35970"
"1"," 16198358"," 16352574","   154217"
"1"," 16398146"," 16440720","    42575"
"1"," 16460079"," 16460947","      869"
"1"," 16468482"," 16514644","    46163"
"1"," 16521797"," 16617390","    95594"
"1"," 16617730"," 16645621","    27892"
"1"," 16650290"," 16656878","     6589"
"1"," 16667525"," 16701545","    34021"
"1"," 16705595"," 16740272","    34678"
"1"," 16972965"," 16976301","     3337"
"1"," 16977793"," 16978925","     1133"
"1"," 17005092"," 17189782","   184691"
"1"," 17197618"," 17205127","     7510"
"1"," 17246008"," 17249097","     3090"
"1"," 17284234"," 17308194","    23961"
"1"," 17364005"," 17372195","     8191"
"1"," 17401700"," 17406759","     5060"
"1"," 17407383"," 17539697","   132315"
"1"," 17697875"," 17717624","    19750"
"1"," 17749979"," 17755332","     5354"
"1"," 17827064"," 18015711","   188648"
"1"," 18045613"," 18065656","    20044"
"1"," 18074413"," 18107797","    33385"
"1"," 18378484"," 18385828","     7345"
"1"," 18388515"," 18480929","    92415"
"1"," 18485975"," 18513117","    27143"
"1"," 18513384"," 18595413","    82030"
"1"," 18595637"," 18630845","    35209"
"1"," 18748867"," 19210354","   461488"
"1"," 19240705"," 19251804","    11100"
"1"," 19260129"," 19297079","    36951"
"1"," 19297904"," 19312325","    14422"
"1"," 19329301"," 19424383","    95083"
"1"," 19424672"," 19484402","    59731"
"1"," 19658457"," 19664874","     6418"
"1"," 19680967"," 19814366","   133400"
"1"," 19819503"," 19882394","    62892"
"1"," 19912946"," 19970968","    58023"
"1"," 19971270"," 20028178","    56909"
"1"," 20091912"," 20139322","    47411"
"1"," 20150382"," 20154170","     3789"
"1"," 20160569"," 20186095","    25527"
"1"," 20196051"," 20243094","    47044"
"1"," 20244665"," 20272017","    27353"
"1"," 20275006"," 20290874","    15869"
"1"," 20359519"," 20476221","   116703"
"1"," 20478938"," 20525988","    47051"
"1"," 20526752"," 20552572","    25821"
"1"," 20555021"," 20589085","    34065"
"1"," 20618904"," 20633457","    14554"
"1"," 20651512"," 20732879","    81368"
"1"," 20733953"," 20841240","   107288"
"1"," 20841303"," 21161474","   320172"
"1"," 21162082"," 21177053","    14972"
"1"," 21178165"," 21266081","    87917"
"1"," 21267252"," 21293289","    26038"
"1"," 21299875"," 21397986","    98112"
"1"," 21398363"," 21415897","    17535"
"1"," 21417493"," 21428302","    10810"
"1"," 21429537"," 21434317","     4781"
"1"," 21437559"," 21440127","     2569"
"1"," 21485006"," 21509396","    24391"
"1"," 21578411"," 21586471","     8061"
"1"," 21591188"," 21768268","   177081"
"1"," 21768576"," 21812264","    43689"
"1"," 21825226"," 21908097","    82872"
"1"," 21908581"," 21977021","    68441"
"1"," 22101361"," 22142849","    41489"
"1"," 22157402"," 22266238","   108837"
"1"," 22266301"," 22428837","   162537"
"1"," 22531158"," 22563488","    32331"
"1"," 22603596"," 22636624","    33029"
"1"," 22639683"," 22643624","     3942"
"1"," 22648111"," 22652761","     4651"
"1"," 22661638"," 22710837","    49200"
"1"," 22921501"," 23019442","    97942"
"1"," 23083690"," 23140324","    56635"
"1"," 23141143"," 23162703","    21561"
"1"," 23162811"," 23163952","     1142"
"1"," 23164054"," 23244764","    80711"
"1"," 23245225"," 23297796","    52572"
"1"," 23302867"," 23368948","    66082"
"1"," 23371840"," 23410831","    38992"
"1"," 23412147"," 23581494","   169348"
"1"," 23640569"," 23670293","    29725"
"1"," 23680260"," 23691741","    11482"
"1"," 23696836"," 23743447","    46612"
"1"," 23762060"," 23778417","    16358"
"1"," 23788233"," 23791144","     2912"
"1"," 23795540"," 23907110","   111571"
"1"," 23907886"," 23929069","    21184"
"1"," 23929148"," 23956838","    27691"
"1"," 23963463"," 24040834","    77372"
"1"," 24086800"," 24199557","   112758"
"1"," 24364483"," 24415801","    51319"
"1"," 24472977"," 24476361","     3385"
"1"," 24476740"," 24502350","    25611"
"1"," 24541041"," 24556086","    15046"
"1"," 24609329"," 24631715","    22387"
"1"," 24673282"," 24704893","    31612"
"1"," 24717597"," 24745381","    27785"
"1"," 24844322"," 24961344","   117023"
"1"," 24963098"," 25023502","    60405"
"1"," 25023587"," 25041135","    17549"
"1"," 25047405"," 25208138","   160734"
"1"," 25209438"," 25232585","    23148"
"1"," 25234776"," 25239493","     4718"
"1"," 25240254"," 25247836","     7583"
"1"," 25248322"," 25272392","    24071"
"1"," 25330446"," 25338316","     7871"
"1"," 25362362"," 25398720","    36359"
"1"," 25399199"," 25430857","    31659"
"1"," 25500210"," 25543584","    43375"
"1"," 25568887"," 25581477","    12591"
"1"," 25590357"," 25616790","    26434"
"1"," 25786207"," 25800192","    13986"
"1"," 25832943"," 25859579","    26637"
"1"," 25863421"," 25877495","    14075"
"1"," 25877606"," 25887359","     9754"
"1"," 25887611"," 25888969","     1359"
"1"," 25889110"," 25964196","    75087"
"1"," 25964301"," 26006005","    41705"
"1"," 26006131"," 26006215","       85"
"1"," 26006300"," 26019883","    13584"
"1"," 26036465"," 26046664","    10200"
"1"," 26049100"," 26111164","    62065"
"1"," 26125556"," 26159078","    33523"
"1"," 26163963"," 26169907","     5945"
"1"," 26170874"," 26177483","     6610"
"1"," 26189885"," 26190560","      676"
"1"," 26202969"," 26209740","     6772"
"1"," 26229845"," 26234199","     4355"
"1"," 26278809"," 26280085","     1277"
"1"," 26281523"," 26317957","    36435"
"1"," 26320524"," 26326687","     6164"
"1"," 26327034"," 26410816","    83783"
"1"," 26429729"," 26432281","     2553"
"1"," 26471307"," 26472439","     1133"
"1"," 26476643"," 26529760","    53118"
"1"," 26575031"," 26647446","    72416"
"1"," 26647682"," 26693235","    45554"
"1"," 26782111"," 26787053","     4943"
"1"," 26800660"," 26814821","    14162"
"1"," 26815113"," 26817299","     2187"
"1"," 26817477"," 26826687","     9211"
"1"," 26857605"," 26863148","     5544"
"1"," 26864457"," 26876132","    11676"
"1"," 26878246"," 26900237","    21992"
"1"," 26946872"," 26980164","    33293"
"1"," 26980976"," 26983627","     2652"
"1"," 26984025"," 26993691","     9667"
"1"," 27000887"," 27176750","   175864"
"1"," 27177278"," 27206929","    29652"
"1"," 27207797"," 27211264","     3468"
"1"," 27211485"," 27234631","    23147"
"1"," 27308637"," 27311239","     2603"
"1"," 27311839"," 27322144","    10306"
"1"," 27336401"," 27342019","     5619"
"1"," 27353938"," 27389467","    35530"
"1"," 27390146"," 27392621","     2476"
"1"," 27395815"," 27457197","    61383"
"1"," 27459583"," 27525804","    66222"
"1"," 27530562"," 27649418","   118857"
"1"," 27649611"," 27669467","    19857"
"1"," 27703064"," 27725960","    22897"
"1"," 27763117"," 27773218","    10102"
"1"," 27824444"," 27824537","       94"
"1"," 27824644"," 27830781","     6138"
"1"," 27851677"," 27872542","    20866"
"1"," 27886686"," 27934999","    48314"
"1"," 27959158"," 27959587","      430"
"1"," 27968094"," 28109738","   141645"
"1"," 28110299"," 28236108","   125810"
"1"," 28246907"," 28247143","      237"
"1"," 28247569"," 28259517","    11949"
"1"," 28282492"," 28329001","    46510"
"1"," 28335966"," 28369581","    33616"
"1"," 28500365"," 28505942","     5578"
"1"," 28539301"," 28544459","     5159"
"1"," 28546543"," 28553084","     6542"
"1"," 28578546"," 28592199","    13654"
"1"," 28595450"," 28643227","    47778"
"1"," 28648582"," 28648599","       18"
"1"," 28648734"," 28668777","    20044"
"1"," 28719354"," 28736620","    17267"
"1"," 28769776"," 28812169","    42394"
"1"," 28871268"," 28887090","    15823"
"1"," 29120047"," 29223932","   103886"
"1"," 29224817"," 29236515","    11699"
"1"," 29326814"," 29755174","   428361"
"1"," 29790598"," 30140262","   349665"
"1"," 30141608"," 30226522","    84915"
"1"," 30226616"," 30415824","   189209"
"1"," 30421109"," 30718503","   297395"
"1"," 30726828"," 30731692","     4865"
"1"," 30733428"," 30824216","    90789"
"1"," 30834865"," 30843822","     8958"
"1"," 30844111"," 30858157","    14047"
"1"," 30860255"," 31036733","   176479"
"1"," 31037241"," 31050871","    13631"
"1"," 31051035"," 31296981","   245947"
"1"," 31364954"," 31409564","    44611"
"1"," 31434681"," 31500084","    65404"
"1"," 31587687"," 31617685","    29999"
"1"," 31632519"," 31644048","    11530"
"1"," 31660163"," 31789129","   128967"
"1"," 31791323"," 31933019","   141697"
"1"," 31933976"," 32013867","    79892"
"1"," 32060851"," 32072030","    11180"
"1"," 32102867"," 32108055","     5189"
"1"," 32176569"," 32179674","     3106"
"1"," 32198286"," 32200594","     2309"
"1"," 32205454"," 32205670","      217"
"1"," 32208683"," 32209088","      406"
"1"," 32216193"," 32221076","     4884"
"1"," 32245398"," 32247221","     1824"
"1"," 32248857"," 32251238","     2382"
"1"," 32286166"," 32292082","     5917"
"1"," 32333636"," 32351520","    17885"
"1"," 32364313"," 32421978","    57666"
"1"," 32422320"," 32457834","    35515"
"1"," 32458136"," 32465056","     6921"
"1"," 32605942"," 32639950","    34009"
"1"," 32640053"," 32651141","    11089"
"1"," 32686212"," 32741829","    55618"
"1"," 32774971"," 32816766","    41796"
"1"," 32858876"," 32885993","    27118"
"1"," 32898442"," 32925453","    27012"
"1"," 32951639"," 32973552","    21914"
"1"," 32974464"," 32979946","     5483"
"1"," 32980473"," 32986951","     6479"
"1"," 33032470"," 33081103","    48634"
"1"," 33123493"," 33162850","    39358"
"1"," 33166299"," 33194787","    28489"
"1"," 33200354"," 33256491","    56138"
"1"," 33300720"," 33307347","     6628"
"1"," 33349246"," 33350351","     1106"
"1"," 33363246"," 33466248","   103003"
"1"," 33468955"," 33472644","     3690"
"1"," 33501644"," 33838522","   336879"
"1"," 33840141"," 33860474","    20334"
"1"," 33864792"," 33868952","     4161"
"1"," 33893727"," 34112948","   219222"
"1"," 34113064"," 34166882","    53819"
"1"," 34219132"," 34755046","   535915"
"1"," 34758513"," 34759739","     1227"
"1"," 34762328"," 34781213","    18886"
"1"," 34786370"," 34792998","     6629"
"1"," 34795748"," 34850693","    54946"
"1"," 34851556"," 35032171","   180616"
"1"," 35115860"," 35122021","     6162"
"1"," 35122485"," 35195968","    73484"
"1"," 35196063"," 35268708","    72646"
"1"," 35422059"," 35509741","    87683"
"1"," 35511439"," 35557472","    46034"
"1"," 35567275"," 35573313","     6039"
"1"," 35595329"," 35739388","   144060"
"1"," 35743577"," 35808015","    64439"
"1"," 35857891"," 35869807","    11917"
"1"," 35930533"," 35930717","      185"
"1"," 36072501"," 36084093","    11593"
"1"," 36088276"," 36088891","      616"
"1"," 36093933"," 36155578","    61646"
"1"," 36180850"," 36191914","    11065"
"1"," 36192171"," 36224431","    32261"
"1"," 36305358"," 36306367","     1010"
"1"," 36329341"," 36329629","      289"
"1"," 36335407"," 36630334","   294928"
"1"," 36630858"," 36703952","    73095"
"1"," 36710583"," 36769811","    59229"
"1"," 36775769"," 37133488","   357720"
"1"," 37136147"," 37161562","    25416"
"1"," 37161635"," 37203609","    41975"
"1"," 37203717"," 37330851","   127135"
"1"," 37330997"," 37474579","   143583"
"1"," 37484378"," 37544762","    60385"
"1"," 37545295"," 37556246","    10952"
"1"," 37556500"," 37556918","      419"
"1"," 37566858"," 37596125","    29268"
"1"," 37607337"," 37692480","    85144"
"1"," 37709720"," 37776669","    66950"
"1"," 37779419"," 37793846","    14428"
"1"," 37801138"," 37806978","     5841"
"1"," 37809455"," 37840985","    31531"
"1"," 37841677"," 37860696","    19020"
"1"," 37861581"," 37884236","    22656"
"1"," 37884318"," 37885022","      705"
"1"," 37885118"," 37953507","    68390"
"1"," 37953781"," 37991461","    37681"
"1"," 37991570"," 38009257","    17688"
"1"," 38024821"," 38047313","    22493"
"1"," 38119026"," 38149543","    30518"
"1"," 38162546"," 38193618","    31073"
"1"," 38210341"," 38396658","   186318"
"1"," 38396766"," 38474824","    78059"
"1"," 38516521"," 38708930","   192410"
"1"," 38710891"," 38859911","   149021"
"1"," 38965039"," 38991275","    26237"
"1"," 39006060"," 39026317","    20258"
"1"," 39034637"," 39081315","    46679"
"1"," 39487178"," 39491635","     4458"
"1"," 39529870"," 39565051","    35182"
"1"," 39573861"," 39633415","    59555"
"1"," 39633904"," 39692181","    58278"
"1"," 39763915"," 39779968","    16054"
"1"," 39781419"," 39788975","     7557"
"1"," 39790172"," 39799418","     9247"
"1"," 39809451"," 39897744","    88294"
"1"," 39899099"," 39955111","    56013"
"1"," 39969969"," 40040232","    70264"
"1"," 40072650"," 40132763","    60114"
"1"," 40133449"," 40161386","    27938"
"1"," 40240922"," 40245946","     5025"
"1"," 40251685"," 40258040","     6356"
"1"," 40294185"," 40344849","    50665"
"1"," 40423327"," 40450101","    26775"
"1"," 40463719"," 40464318","      600"
"1"," 40466768"," 40473054","     6287"
"1"," 40474060"," 40477289","     3230"
"1"," 40496344"," 40508740","    12397"
"1"," 40516039"," 40531572","    15534"
"1"," 40548168"," 40563533","    15366"
"1"," 40563660"," 40659847","    96188"
"1"," 40667481"," 40691647","    24167"
"1"," 40771604"," 40783786","    12183"
"1"," 40840453"," 40863913","    23461"
"1"," 40876671"," 40939293","    62623"
"1"," 40945525"," 40979687","    34163"
"1"," 41012566"," 41014589","     2024"
"1"," 41043891"," 41098637","    54747"
"1"," 41099137"," 41241771","   142635"
"1"," 41338645"," 41361921","    23277"
"1"," 41383591"," 41535442","   151852"
"1"," 41535869"," 41542068","     6200"
"1"," 41544311"," 42036142","   491832"
"1"," 42051785"," 42140634","    88850"
"1"," 42141392"," 42153409","    12018"
"1"," 42155821"," 42380791","   224971"
"1"," 42424233"," 42456116","    31884"
"1"," 42657191"," 42658334","     1144"
"1"," 42676759"," 42678734","     1976"
"1"," 42681660"," 42682417","      758"
"1"," 42703806"," 42767244","    63439"
"1"," 42816620"," 42817121","      502"
"1"," 42844992"," 42846572","     1581"
"1"," 42852478"," 42903231","    50754"
"1"," 42903913"," 42924459","    20547"
"1"," 42925850"," 42959048","    33199"
"1"," 42996815"," 43104085","   107271"
"1"," 43104498"," 43145152","    40655"
"1"," 43156397"," 43172329","    15933"
"1"," 43254359"," 43269982","    15624"
"1"," 43274003"," 43300981","    26979"
"1"," 43323109"," 43337803","    14695"
"1"," 43354467"," 43358980","     4514"
"1"," 43363204"," 43368207","     5004"
"1"," 43368609"," 43385112","    16504"
"1"," 43389156"," 43389881","      726"
"1"," 43456996"," 43525186","    68191"
"1"," 43623667"," 43650148","    26482"
"1"," 43931166"," 43933319","     2154"
"1"," 43937241"," 43946949","     9709"
"1"," 43968023"," 43969999","     1977"
"1"," 43973370"," 43974486","     1117"
"1"," 43978296"," 43978942","      647"
"1"," 43991171"," 43991358","      188"
"1"," 43996529"," 44030413","    33885"
"1"," 44115914"," 44118820","     2907"
"1"," 44135141"," 44213454","    78314"
"1"," 44220682"," 44390721","   170040"
"1"," 44390824"," 44405193","    14370"
"1"," 44651725"," 44674691","    22967"
"1"," 44725592"," 44739817","    14226"
"1"," 44767768"," 44775250","     7483"
"1"," 44778780"," 44800376","    21597"
"1"," 44805991"," 44808481","     2491"
"1"," 44815586"," 44932322","   116737"
"1"," 44932432"," 44958556","    26125"
"1"," 44959396"," 45010949","    51554"
"1"," 45015576"," 45303909","   288334"
"1"," 45305620"," 45326894","    21275"
"1"," 45328711"," 45340051","    11341"
"1"," 45343974"," 45415019","    71046"
"1"," 45415345"," 45500299","    84955"
"1"," 45513383"," 45530926","    17544"
"1"," 45532140"," 45550542","    18403"
"1"," 45570050"," 45583845","    13796"
"1"," 45618905"," 45688180","    69276"
"1"," 45694437"," 45781276","    86840"
"1"," 45781958"," 45786986","     5029"
"1"," 46036123"," 46046817","    10695"
"1"," 46048369"," 46104949","    56581"
"1"," 46105176"," 46134530","    29355"
"1"," 46139082"," 46175072","    35991"
"1"," 46185963"," 46203333","    17371"
"1"," 46221257"," 46246460","    25204"
"1"," 46278481"," 46303697","    25217"
"1"," 46316777"," 46340788","    24012"
"1"," 46365153"," 46370585","     5433"
"1"," 46370956"," 46394316","    23361"
"1"," 46413849"," 46432128","    18280"
"1"," 46482494"," 46489835","     7342"
"1"," 46516217"," 46538610","    22394"
"1"," 46570256"," 46668854","    98599"
"1"," 46673595"," 46674035","      441"
"1"," 46692099"," 46742328","    50230"
"1"," 46743134"," 46757837","    14704"
"1"," 46819414"," 46891638","    72225"
"1"," 46892831"," 47023668","   130838"
"1"," 47050752"," 47067230","    16479"
"1"," 47118319"," 47137434","    19116"
"1"," 47149728"," 47179249","    29522"
"1"," 47180340"," 47225796","    45457"
"1"," 47230751"," 47333789","   103039"
"1"," 47378840"," 47416284","    37445"
"1"," 47418053"," 47438043","    19991"
"1"," 47440692"," 47550195","   109504"
"1"," 47550754"," 47688462","   137709"
"1"," 47704030"," 47818065","   114036"
"1"," 47820238"," 48050658","   230421"
"1"," 48091737"," 48102067","    10331"
"1"," 48104737"," 48172971","    68235"
"1"," 48206858"," 48222684","    15827"
"1"," 48248645"," 48344208","    95564"
"1"," 48344316"," 48435966","    91651"
"1"," 48437224"," 48447935","    10712"
"1"," 48448043"," 48552990","   104948"
"1"," 48558107"," 48926020","   367914"
"1"," 48936735"," 49025594","    88860"
"1"," 49187586"," 49257410","    69825"
"1"," 49269286"," 49841820","   572535"
"1"," 49846401"," 49994317","   147917"
"1"," 49996219"," 50017091","    20873"
"1"," 50017504"," 50024028","     6525"
"1"," 50203773"," 50252568","    48796"
"1"," 50258995"," 50326130","    67136"
"1"," 50327008"," 50423608","    96601"
"1"," 50425317"," 50461468","    36152"
"1"," 50471151"," 50582403","   111253"
"1"," 50582512"," 50780339","   197828"
"1"," 50781151"," 50846467","    65317"
"1"," 50846838"," 50960744","   113907"
"1"," 50974635"," 51059836","    85202"
"1"," 51059906"," 51060017","      112"
"1"," 51060104"," 51102220","    42117"
"1"," 51148087"," 51236272","    88186"
"1"," 51273448"," 51329653","    56206"
"1"," 51335325"," 51372269","    36945"
"1"," 51373225"," 51382307","     9083"
"1"," 51382415"," 51461720","    79306"
"1"," 51463417"," 51518308","    54892"
"1"," 51561630"," 51577178","    15549"
"1"," 51799155"," 51801027","     1873"
"1"," 51801308"," 51859777","    58470"
"1"," 51860136"," 51973409","   113274"
"1"," 51973536"," 51980472","     6937"
"1"," 51980815"," 51995739","    14925"
"1"," 51996040"," 52033390","    37351"
"1"," 52044280"," 52050917","     6638"
"1"," 52052684"," 52056198","     3515"
"1"," 52090717"," 52142088","    51372"
"1"," 52348672"," 52353486","     4815"
"1"," 52353878"," 52365442","    11565"
"1"," 52367866"," 52368676","      811"
"1"," 52369245"," 52404601","    35357"
"1"," 52420837"," 52554817","   133981"
"1"," 52555274"," 52573113","    17840"
"1"," 52573817"," 52602370","    28554"
"1"," 52609052"," 52633167","    24116"
"1"," 52669684"," 52709121","    39438"
"1"," 52709443"," 52714398","     4956"
"1"," 52714696"," 52726452","    11757"
"1"," 52827337"," 52842510","    15174"
"1"," 52894999"," 52920421","    25423"
"1"," 52920597"," 52927275","     6679"
"1"," 53051699"," 53062051","    10353"
"1"," 53085502"," 53114575","    29074"
"1"," 53118610"," 53180920","    62311"
"1"," 53186901"," 53196791","     9891"
"1"," 53214198"," 53220662","     6465"
