2023-04-07 10:34:05.790351	https://www.encodeproject.org/cart-report/?type=Annotation&cart=%2Fcarts%2Fd04961b5-96d7-4347-977d-8716838e1636%2F&limit=all
ID	Accession	Targets	Target	Biosample term name	Description	Lab	Project	Status	Organism	Life stage	Age	Age units	Software used
/annotations/ENCSR144TZE/	ENCSR144TZE	/targets/H3K27me3-human/	H3K27me3	spleen	avocado:encode2018core-hg38 imputations of ChIP-seq_H3K27me3_signal_p-value in spleen female adult (53 years) (J048) at 25bp resolution.	Bill Noble, UW	ENCODE	released	Homo sapiens				avocado
/annotations/ENCSR992ZOG/	ENCSR992ZOG	/targets/H3K36me3-human/	H3K36me3	smooth muscle cell	avocado:encode2018core-hg38 imputations of ChIP-seq_H3K36me3_signal_p-value in smooth muscle cell originated from H9 (J066) at 25bp resolution.	Bill Noble, UW	ENCODE	released	Homo sapiens				avocado
/annotations/ENCSR710RKW/	ENCSR710RKW	/targets/H3K9ac-human/	H3K9ac	transverse colon	avocado:encode2018core-hg38 imputations of ChIP-seq_H3K9ac_signal_p-value in transverse colon female adult (53 years) (J036) at 25bp resolution.	Bill Noble, UW	ENCODE	released	Homo sapiens				avocado
/annotations/ENCSR551IKH/	ENCSR551IKH	/targets/H3K4me3-human/	H3K4me3	smooth muscle cell	avocado:encode2018core-hg38 imputations of ChIP-seq_H3K4me3_signal_p-value in smooth muscle cell originated from H9 (J066) at 25bp resolution.	Bill Noble, UW	ENCODE	released	Homo sapiens				avocado
/annotations/ENCSR428YYP/	ENCSR428YYP	/targets/H3K27me3-human/	H3K27me3	heart left ventricle	avocado:encode2018core-hg38 imputations of ChIP-seq_H3K27me3_signal_p-value in heart left ventricle male adult (34 years) (J038) at 25bp resolution.	Bill Noble, UW	ENCODE	released	Homo sapiens				avocado
/annotations/ENCSR187LBJ/	ENCSR187LBJ	/targets/H3K4me3-human/	H3K4me3	spleen	avocado:encode2018core-hg38 imputations of ChIP-seq_H3K4me3_signal_p-value in spleen female adult (30 years) (J084) at 25bp resolution.	Bill Noble, UW	ENCODE	released	Homo sapiens				avocado
/annotations/ENCSR497KFW/	ENCSR497KFW	/targets/H3K27me3-human/	H3K27me3	ACC112	avocado:encode2018core-hg38 imputations of ChIP-seq_H3K27me3_signal_p-value in ACC112 (J025) at 25bp resolution.	Bill Noble, UW	ENCODE	released	Homo sapiens				avocado
/annotations/ENCSR856MPX/	ENCSR856MPX	/targets/H3K4me3-human/	H3K4me3	chorion	avocado:encode2018core-hg38 imputations of ChIP-seq_H3K4me3_signal_p-value in chorion male embryo (16 weeks) (J028) at 25bp resolution.	Bill Noble, UW	ENCODE	released	Homo sapiens				avocado
/annotations/ENCSR335ZNK/	ENCSR335ZNK	/targets/H3K9me3-human/	H3K9me3	NCI-H929	avocado:encode2018core-hg38 imputations of ChIP-seq_H3K9me3_signal_p-value in NCI-H929 (J055) at 25bp resolution.	Bill Noble, UW	ENCODE	released	Homo sapiens				avocado
/annotations/ENCSR466ARE/	ENCSR466ARE	/targets/H3K36me3-human/	H3K36me3	keratinocyte	avocado:encode2018core-hg38 imputations of ChIP-seq_H3K36me3_signal_p-value in keratinocyte nuclear fraction female (J108) at 25bp resolution.	Bill Noble, UW	ENCODE	released	Homo sapiens				avocado
/annotations/ENCSR185RTR/	ENCSR185RTR	/targets/H3K9ac-human/	H3K9ac	small intestine	avocado:encode2018core-hg38 imputations of ChIP-seq_H3K9ac_signal_p-value in small intestine female adult (30 years) (J085) at 25bp resolution.	Bill Noble, UW	ENCODE	released	Homo sapiens				avocado
/annotations/ENCSR477QPK/	ENCSR477QPK	/targets/H3K4me3-human/	H3K4me3	GM12878	avocado:encode2018core-hg38 imputations of ChIP-seq_H3K4me3_signal_p-value in GM12878 (J041) at 25bp resolution.	Bill Noble, UW	ENCODE	released	Homo sapiens				avocado
/annotations/ENCSR956RGY/	ENCSR956RGY	/targets/H3K4me1-human/	H3K4me1	chorion	avocado:encode2018core-hg38 imputations of ChIP-seq_H3K4me1_signal_p-value in chorion female embryo (40 weeks) (J029) at 25bp resolution.	Bill Noble, UW	ENCODE	released	Homo sapiens				avocado
/annotations/ENCSR441ZGZ/	ENCSR441ZGZ	/targets/H3K36me3-human/	H3K36me3	chorion	avocado:encode2018core-hg38 imputations of ChIP-seq_H3K36me3_signal_p-value in chorion female embryo (40 weeks) (J029) at 25bp resolution.	Bill Noble, UW	ENCODE	released	Homo sapiens				avocado
/annotations/ENCSR701UWN/	ENCSR701UWN	/targets/H3K27me3-human/	H3K27me3	sigmoid colon	avocado:encode2018core-hg38 imputations of ChIP-seq_H3K27me3_signal_p-value in sigmoid colon male adult (54 years) (J074) at 25bp resolution.	Bill Noble, UW	ENCODE	released	Homo sapiens				avocado
/annotations/ENCSR261VZA/	ENCSR261VZA	/targets/H3K27me3-human/	H3K27me3	subcutaneous abdominal adipose tissue	avocado:encode2018core-hg38 imputations of ChIP-seq_H3K27me3_signal_p-value in subcutaneous abdominal adipose tissue nuclear fraction female adult (49 years) (J042) at 25bp resolution.	Bill Noble, UW	ENCODE	released	Homo sapiens				avocado
/annotations/ENCSR221SDC/	ENCSR221SDC	/targets/H3K4me3-human/	H3K4me3	subcutaneous abdominal adipose tissue	avocado:encode2018core-hg38 imputations of ChIP-seq_H3K4me3_signal_p-value in subcutaneous abdominal adipose tissue nuclear fraction female adult (49 years) (J042) at 25bp resolution.	Bill Noble, UW	ENCODE	released	Homo sapiens				avocado
/annotations/ENCSR338IPP/	ENCSR338IPP	/targets/H3K27ac-human/	H3K27ac	thymus	avocado:encode2018core-hg38 imputations of ChIP-seq_H3K27ac_signal_p-value in thymus male child (3 years) (J067) at 25bp resolution.	Bill Noble, UW	ENCODE	released	Homo sapiens				avocado
/annotations/ENCSR817EFT/	ENCSR817EFT	/targets/H3K4me3-human/	H3K4me3	adipocyte	avocado:encode2018core-hg38 imputations of ChIP-seq_H3K4me3_signal_p-value in adipocyte originated from mesenchymal stem cell (J073) at 25bp resolution.	Bill Noble, UW	ENCODE	released	Homo sapiens				avocado
/annotations/ENCSR275GZE/	ENCSR275GZE	/targets/H3K9ac-human/	H3K9ac	heart right ventricle	avocado:encode2018core-hg38 imputations of ChIP-seq_H3K9ac_signal_p-value in heart right ventricle male child (3 years) (J090) at 25bp resolution.	Bill Noble, UW	ENCODE	released	Homo sapiens				avocado
/annotations/ENCSR437EWP/	ENCSR437EWP	/targets/H3K27ac-human/	H3K27ac	placental pericyte	avocado:encode2018core-hg38 imputations of ChIP-seq_H3K27ac_signal_p-value in placental pericyte female newborn and male newborn (J071) at 25bp resolution.	Bill Noble, UW	ENCODE	released	Homo sapiens				avocado
/annotations/ENCSR482LPC/	ENCSR482LPC	/targets/H3K4me3-human/	H3K4me3	heart right ventricle	avocado:encode2018core-hg38 imputations of ChIP-seq_H3K4me3_signal_p-value in heart right ventricle male child (3 years) (J090) at 25bp resolution.	Bill Noble, UW	ENCODE	released	Homo sapiens				avocado
/annotations/ENCSR229VDJ/	ENCSR229VDJ	/targets/H3K4me1-human/	H3K4me1	gastrocnemius medialis	avocado:encode2018core-hg38 imputations of ChIP-seq_H3K4me1_signal_p-value in gastrocnemius medialis male adult (37 years) (J091) at 25bp resolution.	Bill Noble, UW	ENCODE	released	Homo sapiens				avocado
/annotations/ENCSR565QZN/	ENCSR565QZN	/targets/H3K36me3-human/	H3K36me3	trophoblast cell	avocado:encode2018core-hg38 imputations of ChIP-seq_H3K36me3_signal_p-value in trophoblast cell originated from H1-hESC (J046) at 25bp resolution.	Bill Noble, UW	ENCODE	released	Homo sapiens				avocado
/annotations/ENCSR241HOK/	ENCSR241HOK	/targets/H3K36me3-human/	H3K36me3	adipocyte	avocado:encode2018core-hg38 imputations of ChIP-seq_H3K36me3_signal_p-value in adipocyte originated from mesenchymal stem cell (J073) at 25bp resolution.	Bill Noble, UW	ENCODE	released	Homo sapiens				avocado
/annotations/ENCSR180MJF/	ENCSR180MJF	/targets/H3K4me1-human/	H3K4me1	mesenchymal stem cell of adipose	avocado:encode2018core-hg38 imputations of ChIP-seq_H3K4me1_signal_p-value in mesenchymal stem cell of adipose (J102) at 25bp resolution.	Bill Noble, UW	ENCODE	released	Homo sapiens				avocado
/annotations/ENCSR905KCT/	ENCSR905KCT	/targets/H3K9me3-human/	H3K9me3	cerebellum	avocado:encode2018core-hg38 imputations of ChIP-seq_H3K9me3_signal_p-value in cerebellum female embryo (19 weeks) and female embryo (37 weeks) (J078) at 25bp resolution.	Bill Noble, UW	ENCODE	released	Homo sapiens				avocado
/annotations/ENCSR150LYN/	ENCSR150LYN	/targets/H3K4me1-human/	H3K4me1	B cell	avocado:encode2018core-hg38 imputations of ChIP-seq_H3K4me1_signal_p-value in B cell female adult (27 years) (J053) at 25bp resolution.	Bill Noble, UW	ENCODE	released	Homo sapiens				avocado
/annotations/ENCSR171ZTN/	ENCSR171ZTN	/targets/H3K4me3-human/	H3K4me3	cerebellum	avocado:encode2018core-hg38 imputations of ChIP-seq_H3K4me3_signal_p-value in cerebellum female embryo (19 weeks) and female embryo (37 weeks) (J078) at 25bp resolution.	Bill Noble, UW	ENCODE	released	Homo sapiens				avocado
/annotations/ENCSR172RIQ/	ENCSR172RIQ	/targets/H3K27ac-human/	H3K27ac	chorionic villus	avocado:encode2018core-hg38 imputations of ChIP-seq_H3K27ac_signal_p-value in chorionic villus male embryo (38 weeks) (J059) at 25bp resolution.	Bill Noble, UW	ENCODE	released	Homo sapiens				avocado
/annotations/ENCSR317MJB/	ENCSR317MJB	/targets/H3K27me3-human/	H3K27me3	mucosa of rectum	avocado:encode2018core-hg38 imputations of ChIP-seq_H3K27me3_signal_p-value in mucosa of rectum female adult (50 years) (J083) at 25bp resolution.	Bill Noble, UW	ENCODE	released	Homo sapiens				avocado
/annotations/ENCSR280IFC/	ENCSR280IFC	/targets/H3K27me3-human/	H3K27me3	ovary	avocado:encode2018core-hg38 imputations of ChIP-seq_H3K27me3_signal_p-value in ovary female adult (53 years) (J129) at 25bp resolution.	Bill Noble, UW	ENCODE	released	Homo sapiens				avocado
/annotations/ENCSR013CXV/	ENCSR013CXV	/targets/H3K4me1-human/	H3K4me1	ovary	avocado:encode2018core-hg38 imputations of ChIP-seq_H3K4me1_signal_p-value in ovary female adult (53 years) (J129) at 25bp resolution.	Bill Noble, UW	ENCODE	released	Homo sapiens				avocado
/annotations/ENCSR753KAX/	ENCSR753KAX	/targets/H3K9ac-human/	H3K9ac	colonic mucosa	avocado:encode2018core-hg38 imputations of ChIP-seq_H3K9ac_signal_p-value in colonic mucosa female adult (73 years) (J063) at 25bp resolution.	Bill Noble, UW	ENCODE	released	Homo sapiens				avocado
/annotations/ENCSR733EZM/	ENCSR733EZM	/targets/H3K27ac-human/	H3K27ac	spleen	avocado:encode2018core-hg38 imputations of ChIP-seq_H3K27ac_signal_p-value in spleen female adult (30 years) (J084) at 25bp resolution.	Bill Noble, UW	ENCODE	released	Homo sapiens				avocado
/annotations/ENCSR548GWQ/	ENCSR548GWQ	/targets/H3K9ac-human/	H3K9ac	thymus	avocado:encode2018core-hg38 imputations of ChIP-seq_H3K9ac_signal_p-value in thymus male child (3 years) (J067) at 25bp resolution.	Bill Noble, UW	ENCODE	released	Homo sapiens				avocado
/annotations/ENCSR745ELY/	ENCSR745ELY	/targets/H3K36me3-human/	H3K36me3	heart left ventricle	avocado:encode2018core-hg38 imputations of ChIP-seq_H3K36me3_signal_p-value in heart left ventricle male child (3 years) (J178) at 25bp resolution.	Bill Noble, UW	ENCODE	released	Homo sapiens				avocado
/annotations/ENCSR954ELP/	ENCSR954ELP	/targets/H3K9me3-human/	H3K9me3	fibroblast of the aortic adventitia	avocado:encode2018core-hg38 imputations of ChIP-seq_H3K9me3_signal_p-value in fibroblast of the aortic adventitia female adult (24 years) and male adult (47 years) (J098) at 25bp resolution.	Bill Noble, UW	ENCODE	released	Homo sapiens				avocado
/annotations/ENCSR135LKG/	ENCSR135LKG	/targets/H3K4me1-human/	H3K4me1	sigmoid colon	avocado:encode2018core-hg38 imputations of ChIP-seq_H3K4me1_signal_p-value in sigmoid colon male adult (37 years) (J096) at 25bp resolution.	Bill Noble, UW	ENCODE	released	Homo sapiens				avocado
/annotations/ENCSR794HZJ/	ENCSR794HZJ	/targets/H3K36me3-human/	H3K36me3	SK-N-SH	avocado:encode2018core-hg38 imputations of ChIP-seq_H3K36me3_signal_p-value in SK-N-SH treated with 6 μM all-trans-retinoic acid for 48 hours (J140) at 25bp resolution.	Bill Noble, UW	ENCODE	released	Homo sapiens				avocado
/annotations/ENCSR280RDO/	ENCSR280RDO	/targets/H3K9ac-human/	H3K9ac	SK-N-SH	avocado:encode2018core-hg38 imputations of ChIP-seq_H3K9ac_signal_p-value in SK-N-SH treated with 6 μM all-trans-retinoic acid for 48 hours (J140) at 25bp resolution.	Bill Noble, UW	ENCODE	released	Homo sapiens				avocado
/annotations/ENCSR537LXA/	ENCSR537LXA	/targets/H3K27ac-human/	H3K27ac	endothelial cell of umbilical vein	avocado:encode2018core-hg38 imputations of ChIP-seq_H3K27ac_signal_p-value in endothelial cell of umbilical vein male newborn (J097) at 25bp resolution.	Bill Noble, UW	ENCODE	released	Homo sapiens				avocado
/annotations/ENCSR530EHB/	ENCSR530EHB	/targets/H3K9ac-human/	H3K9ac	colonic mucosa	avocado:encode2018core-hg38 imputations of ChIP-seq_H3K9ac_signal_p-value in colonic mucosa female adult (56 years) (J072) at 25bp resolution.	Bill Noble, UW	ENCODE	released	Homo sapiens				avocado
/annotations/ENCSR171JAK/	ENCSR171JAK	/targets/H3K36me3-human/	H3K36me3	GM23338	avocado:encode2018core-hg38 imputations of ChIP-seq_H3K36me3_signal_p-value in GM23338 male adult (53 years) originated from GM23248 (J124) at 25bp resolution.	Bill Noble, UW	ENCODE	released	Homo sapiens				avocado
/annotations/ENCSR429UNU/	ENCSR429UNU	/targets/H3K27me3-human/	H3K27me3	skeletal muscle myoblast	avocado:encode2018core-hg38 imputations of ChIP-seq_H3K27me3_signal_p-value in skeletal muscle myoblast male adult (22 years) (J147) at 25bp resolution.	Bill Noble, UW	ENCODE	released	Homo sapiens				avocado
/annotations/ENCSR302JWL/	ENCSR302JWL	/targets/H3K27ac-human/	H3K27ac	prostate gland	avocado:encode2018core-hg38 imputations of ChIP-seq_H3K27ac_signal_p-value in prostate gland male adult (37 years) (J179) at 25bp resolution.	Bill Noble, UW	ENCODE	released	Homo sapiens				avocado
/annotations/ENCSR512UBM/	ENCSR512UBM	/targets/H3K9ac-human/	H3K9ac	subcutaneous adipose tissue	avocado:encode2018core-hg38 imputations of ChIP-seq_H3K9ac_signal_p-value in subcutaneous adipose tissue male adult (37 years) (J130) at 25bp resolution.	Bill Noble, UW	ENCODE	released	Homo sapiens				avocado
/annotations/ENCSR497YJN/	ENCSR497YJN	/targets/H3K36me3-human/	H3K36me3	esophagus	avocado:encode2018core-hg38 imputations of ChIP-seq_H3K36me3_signal_p-value in esophagus female adult (30 years) (J021) at 25bp resolution.	Bill Noble, UW	ENCODE	released	Homo sapiens				avocado
/annotations/ENCSR184KLR/	ENCSR184KLR	/targets/H3K36me3-human/	H3K36me3	HL-60	avocado:encode2018core-hg38 imputations of ChIP-seq_H3K36me3_signal_p-value in HL-60 (J020) at 25bp resolution.	Bill Noble, UW	ENCODE	released	Homo sapiens				avocado
/annotations/ENCSR941AWJ/	ENCSR941AWJ	/targets/H3K27ac-human/	H3K27ac	transverse colon	avocado:encode2018core-hg38 imputations of ChIP-seq_H3K27ac_signal_p-value in transverse colon female adult (53 years) (J036) at 25bp resolution.	Bill Noble, UW	ENCODE	released	Homo sapiens				avocado
/annotations/ENCSR007YPS/	ENCSR007YPS	/targets/H3K27ac-human/	H3K27ac	chorion	avocado:encode2018core-hg38 imputations of ChIP-seq_H3K27ac_signal_p-value in chorion male embryo (16 weeks) (J028) at 25bp resolution.	Bill Noble, UW	ENCODE	released	Homo sapiens				avocado
/annotations/ENCSR211PCE/	ENCSR211PCE	/targets/H3K27me3-human/	H3K27me3	chorion	avocado:encode2018core-hg38 imputations of ChIP-seq_H3K27me3_signal_p-value in chorion female embryo (40 weeks) (J029) at 25bp resolution.	Bill Noble, UW	ENCODE	released	Homo sapiens				avocado
/annotations/ENCSR573QUV/	ENCSR573QUV	/targets/H3K27ac-human/	H3K27ac	right atrium auricular region	avocado:encode2018core-hg38 imputations of ChIP-seq_H3K27ac_signal_p-value in right atrium auricular region female adult (53 years) (J068) at 25bp resolution.	Bill Noble, UW	ENCODE	released	Homo sapiens				avocado
/annotations/ENCSR689OWG/	ENCSR689OWG	/targets/H3K4me1-human/	H3K4me1	smooth muscle cell	avocado:encode2018core-hg38 imputations of ChIP-seq_H3K4me1_signal_p-value in smooth muscle cell originated from H9 (J066) at 25bp resolution.	Bill Noble, UW	ENCODE	released	Homo sapiens				avocado
/annotations/ENCSR869GJL/	ENCSR869GJL	/targets/H3K4me1-human/	H3K4me1	Loucy	avocado:encode2018core-hg38 imputations of ChIP-seq_H3K4me1_signal_p-value in Loucy (J051) at 25bp resolution.	Bill Noble, UW	ENCODE	released	Homo sapiens				avocado
/annotations/ENCSR389PFC/	ENCSR389PFC	/targets/H3K9ac-human/	H3K9ac	heart left ventricle	avocado:encode2018core-hg38 imputations of ChIP-seq_H3K9ac_signal_p-value in heart left ventricle male adult (34 years) (J038) at 25bp resolution.	Bill Noble, UW	ENCODE	released	Homo sapiens				avocado
/annotations/ENCSR395BKC/	ENCSR395BKC	/targets/H3K4me3-human/	H3K4me3	transverse colon	avocado:encode2018core-hg38 imputations of ChIP-seq_H3K4me3_signal_p-value in transverse colon female adult (53 years) (J036) at 25bp resolution.	Bill Noble, UW	ENCODE	released	Homo sapiens				avocado
/annotations/ENCSR333HDV/	ENCSR333HDV	/targets/H3K9ac-human/	H3K9ac	Loucy	avocado:encode2018core-hg38 imputations of ChIP-seq_H3K9ac_signal_p-value in Loucy (J051) at 25bp resolution.	Bill Noble, UW	ENCODE	released	Homo sapiens				avocado
/annotations/ENCSR432UED/	ENCSR432UED	/targets/H3K27ac-human/	H3K27ac	myotube	avocado:encode2018core-hg38 imputations of ChIP-seq_H3K27ac_signal_p-value in myotube (J045) at 25bp resolution.	Bill Noble, UW	ENCODE	released	Homo sapiens				avocado
/annotations/ENCSR967UYZ/	ENCSR967UYZ	/targets/H3K9me3-human/	H3K9me3	fibroblast of breast	avocado:encode2018core-hg38 imputations of ChIP-seq_H3K9me3_signal_p-value in fibroblast of breast female adult (17 years) (J043) at 25bp resolution.	Bill Noble, UW	ENCODE	released	Homo sapiens				avocado
/annotations/ENCSR566DJQ/	ENCSR566DJQ	/targets/H3K27ac-human/	H3K27ac	spleen	avocado:encode2018core-hg38 imputations of ChIP-seq_H3K27ac_signal_p-value in spleen female adult (53 years) (J048) at 25bp resolution.	Bill Noble, UW	ENCODE	released	Homo sapiens				avocado
/annotations/ENCSR363SSH/	ENCSR363SSH	/targets/H3K9ac-human/	H3K9ac	spleen	avocado:encode2018core-hg38 imputations of ChIP-seq_H3K9ac_signal_p-value in spleen female adult (53 years) (J048) at 25bp resolution.	Bill Noble, UW	ENCODE	released	Homo sapiens				avocado
/annotations/ENCSR344UVE/	ENCSR344UVE	/targets/H3K4me3-human/	H3K4me3	chorionic villus	avocado:encode2018core-hg38 imputations of ChIP-seq_H3K4me3_signal_p-value in chorionic villus male embryo (38 weeks) (J059) at 25bp resolution.	Bill Noble, UW	ENCODE	released	Homo sapiens				avocado
/annotations/ENCSR453NYV/	ENCSR453NYV	/targets/H3K27me3-human/	H3K27me3	H9	avocado:encode2018core-hg38 imputations of ChIP-seq_H3K27me3_signal_p-value in H9 (J049) at 25bp resolution.	Bill Noble, UW	ENCODE	released	Homo sapiens				avocado
/annotations/ENCSR952FLN/	ENCSR952FLN	/targets/H3K36me3-human/	H3K36me3	A549	avocado:encode2018core-hg38 imputations of ChIP-seq_H3K36me3_signal_p-value in A549 cytosolic fraction (J047) at 25bp resolution.	Bill Noble, UW	ENCODE	released	Homo sapiens				avocado
/annotations/ENCSR309LCX/	ENCSR309LCX	/targets/H3K9me3-human/	H3K9me3	chorionic villus	avocado:encode2018core-hg38 imputations of ChIP-seq_H3K9me3_signal_p-value in chorionic villus male embryo (38 weeks) (J059) at 25bp resolution.	Bill Noble, UW	ENCODE	released	Homo sapiens				avocado
/annotations/ENCSR962TEM/	ENCSR962TEM	/targets/H3K9me3-human/	H3K9me3	epithelial cell of proximal tubule	avocado:encode2018core-hg38 imputations of ChIP-seq_H3K9me3_signal_p-value in epithelial cell of proximal tubule (J014) at 25bp resolution.	Bill Noble, UW	ENCODE	released	Homo sapiens				avocado
/annotations/ENCSR668BOS/	ENCSR668BOS	/targets/H3K27ac-human/	H3K27ac	SK-N-SH	avocado:encode2018core-hg38 imputations of ChIP-seq_H3K27ac_signal_p-value in SK-N-SH (J002) at 25bp resolution.	Bill Noble, UW	ENCODE	released	Homo sapiens				avocado
/annotations/ENCSR026CIH/	ENCSR026CIH	/targets/H3K4me3-human/	H3K4me3	SK-N-SH	avocado:encode2018core-hg38 imputations of ChIP-seq_H3K4me3_signal_p-value in SK-N-SH (J002) at 25bp resolution.	Bill Noble, UW	ENCODE	released	Homo sapiens				avocado
/annotations/ENCSR657ERP/	ENCSR657ERP	/targets/H3K27me3-human/	H3K27me3	layer of hippocampus	avocado:encode2018core-hg38 imputations of ChIP-seq_H3K27me3_signal_p-value in layer of hippocampus female adult (75 years) (J013) at 25bp resolution.	Bill Noble, UW	ENCODE	released	Homo sapiens				avocado
/annotations/ENCSR857ZRP/	ENCSR857ZRP	/targets/H3K27ac-human/	H3K27ac	MCF-7	avocado:encode2018core-hg38 imputations of ChIP-seq_H3K27ac_signal_p-value in MCF-7 (J062) at 25bp resolution.	Bill Noble, UW	ENCODE	released	Homo sapiens				avocado
/annotations/ENCSR173UYJ/	ENCSR173UYJ	/targets/H3K27ac-human/	H3K27ac	GM12891	avocado:encode2018core-hg38 imputations of ChIP-seq_H3K27ac_signal_p-value in GM12891 (J050) at 25bp resolution.	Bill Noble, UW	ENCODE	released	Homo sapiens				avocado
/annotations/ENCSR696CMV/	ENCSR696CMV	/targets/H3K36me3-human/	H3K36me3	HT1080	avocado:encode2018core-hg38 imputations of ChIP-seq_H3K36me3_signal_p-value in HT1080 nuclear fraction (J035) at 25bp resolution.	Bill Noble, UW	ENCODE	released	Homo sapiens				avocado
/annotations/ENCSR193XGI/	ENCSR193XGI	/targets/H3K4me3-human/	H3K4me3	GM12891	avocado:encode2018core-hg38 imputations of ChIP-seq_H3K4me3_signal_p-value in GM12891 (J050) at 25bp resolution.	Bill Noble, UW	ENCODE	released	Homo sapiens				avocado
/annotations/ENCSR976UXR/	ENCSR976UXR	/targets/H3K4me3-human/	H3K4me3	mucosa of rectum	avocado:encode2018core-hg38 imputations of ChIP-seq_H3K4me3_signal_p-value in mucosa of rectum female adult (50 years) (J083) at 25bp resolution.	Bill Noble, UW	ENCODE	released	Homo sapiens				avocado
/annotations/ENCSR307FXW/	ENCSR307FXW	/targets/H3K9me3-human/	H3K9me3	SK-N-SH	avocado:encode2018core-hg38 imputations of ChIP-seq_H3K9me3_signal_p-value in SK-N-SH (J002) at 25bp resolution.	Bill Noble, UW	ENCODE	released	Homo sapiens				avocado
