,probeID,CpG_chrm,CpG_beg,CpG_end,probe_strand,gene,gene_HGNC,CTCF,distance,717HFZ,718AGZ,371WNR,318XQO,340OUL,893CAJ,151PZS,098CED,273PJW,377YFI,773VYR,928QES,786HDE,827FZN,364PIY,802QCI,021NNN,510ZEI,175NGE,670DBL,825ZCZ,912ILE,725WBV,829SZB,483NRC,717RYX,249ZBG,205OTD,765OKG,820YPQ,685BMF,545ZMG,294UQS,104ZSA,370EGY,860FWW,177TTP,151ZGD,743GHZ,990YHL,036WIO,state_modes
731,cg22335801,chr1,1149090,1149092,+,TNFRSF4,TNFRSF4,chr1:1142486-1142620,6471.0,17,11,17,11,12,1,3,6,11,10,6,6,18,16,3,17,6,10,18,6,6,6,6,6,4,15,6,6,10,11,15,2,3,4,6,3,17,11,4,6,6,6
737,cg23867494,chr1,1150321,1150323,+,TNFRSF4,TNFRSF4,chr1:1142486-1142620,7702.0,17,11,17,6,13,11,11,6,6,10,6,6,18,16,11,17,6,10,18,6,6,6,6,6,11,11,6,6,6,6,11,6,6,9,11,11,11,11,11,6,6,6
785,cg19945840,chr1,1168035,1168037,-,B3GALT6;SDF4,B3GALT6;SDF4,chr1:1166189-1166323,1713.0,4,11,2,4,12,4,4,1,4,3,4,4,11,12,4,2,1,9,2,4,1,4,2,4,4,11,1,4,9,4,4,4,4,2,4,3,11,4,4,2,9,4
857,cg02913364,chr1,1208572,1208574,-,UBE2J2,UBE2J2,chr1:1200510-1200644,7929.0,2,3,3,3,1,1,1,1,3,1,4,4,2,3,3,3,3,1,1,4,1,1,1,4,3,4,3,3,1,1,3,1,4,4,3,3,1,3,1,1,4,1
860,cg03322129,chr1,1209672,1209674,+,RP5-902P8.10;UBE2J2,RP5-902P8.10;UBE2J2,chr1:1200510-1200644,9029.0,1,4,1,3,2,1,1,1,2,1,3,1,2,4,4,2,1,1,2,2,1,1,4,2,1,4,1,3,1,3,4,1,1,4,4,3,2,4,1,1,2,1
867,cg13587552,chr1,1216440,1216442,-,SCNN1D,SCNN1D,chr1:1219345-1219479,2904.0,18,18,18,18,9,18,18,18,18,18,17,18,18,9,18,6,6,6,18,18,6,6,9,18,17,16,18,11,18,6,18,6,6,18,18,6,18,6,6,18,6,18
872,cg22421766,chr1,1217657,1217659,+,SCNN1D,SCNN1D,chr1:1219345-1219479,1687.0,17,11,18,9,9,11,11,18,9,10,17,18,18,9,17,17,6,10,10,11,6,6,8,18,17,15,18,9,10,9,9,6,9,18,11,6,10,11,9,18,6,9
909,cg25203980,chr1,1238594,1238596,-,ACAP3,ACAP3,chr1:1237438-1237572,1023.0,6,11,6,6,6,6,11,9,6,6,11,11,6,11,6,7,9,6,10,11,10,8,5,6,6,11,10,6,6,3,6,6,7,6,6,6,6,11,6,9,11,6
911,cg18565510,chr1,1238701,1238703,+,ACAP3,ACAP3,chr1:1237438-1237572,1130.0,6,11,6,6,11,6,11,9,4,6,11,11,6,11,6,8,9,6,10,6,10,8,5,6,6,11,10,6,6,3,11,6,7,6,6,11,6,11,6,9,11,6
918,cg00262415,chr1,1242731,1242733,-,ACAP3;PUSL1,ACAP3;PUSL1,chr1:1241589-1241723,1009.0,3,4,1,3,1,1,1,3,1,1,3,1,2,4,4,3,1,1,1,4,1,1,3,2,4,4,3,3,1,3,4,1,3,4,4,3,4,4,3,3,4,1
928,cg24497877,chr1,1244059,1244061,-,ACAP3;PUSL1,ACAP3;PUSL1,chr1:1241589-1241723,2337.0,1,2,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,2,1,1,2,1,1,1,2,1
959,cg06038049,chr1,1259908,1259910,-,CPSF3L;CPTP,CPTP;INTS11,chr1:1241589-1241723,18186.0,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1
1024,cg10164137,chr1,1285238,1285240,+,DVL1,DVL1,chr1:1285272-1285406,33.0,1,2,1,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,4,1,1,1,1,1,10,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,1
1148,cg14667273,chr1,1369933,1369935,+,RP4-758J18.10;VWA1,RP4-758J18.10;VWA1,chr1:1373580-1373714,3646.0,9,3,3,9,9,9,9,3,9,10,3,9,18,15,9,3,3,10,10,9,9,3,9,9,15,9,3,9,10,3,3,10,9,15,9,9,1,3,9,3,11,9
1175,cg11405695,chr1,1384090,1384092,-,ATAD3C,ATAD3C,chr1:1377074-1377208,6883.0,18,17,18,18,18,18,18,18,18,18,18,18,18,17,18,17,18,18,18,18,18,18,18,18,17,18,18,18,18,18,18,6,18,18,17,18,18,17,17,18,18,18
1179,cg27383362,chr1,1385370,1385372,+,ATAD3C,ATAD3C,chr1:1377074-1377208,8163.0,18,17,18,18,18,18,18,18,18,18,18,18,18,17,18,17,18,18,18,18,18,18,18,18,17,18,18,18,18,18,18,6,18,18,17,18,18,17,17,18,18,18
1239,cg09932694,chr1,1446839,1446841,+,ATAD3A,ATAD3A,chr1:1446419-1446553,287.0,1,1,1,1,1,1,1,3,1,1,1,3,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1
1356,cg20755353,chr1,1510882,1510884,-,RP5-832C2.5;SSU72,RP5-832C2.5;SSU72,chr1:1509318-1509452,1431.0,3,3,1,3,3,1,3,3,3,1,3,3,3,3,3,3,3,10,1,3,3,3,1,1,3,3,3,3,1,3,3,3,3,4,3,9,3,3,3,3,3,3
1527,cg17990871,chr1,1677677,1677679,+,SLC35E2,SLC35E2A,chr1:1695812-1695946,18134.0,1,1,10,1,1,1,1,1,10,1,1,1,1,1,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,2,1,1,1,2,1
1611,cg03716942,chr1,1821980,1821982,-,GNB1;RP1-140A9.1,GNB1;RP1-140A9.1,chr1:1830734-1830868,8753.0,1,2,1,1,1,1,1,1,1,1,1,2,1,2,1,1,2,1,1,1,2,1,1,1,1,2,10,1,1,1,1,1,1,2,1,1,2,1,1,2,2,1
1620,cg12150066,chr1,1823304,1823306,-,GNB1;RP1-140A9.1,GNB1;RP1-140A9.1,chr1:1830734-1830868,7429.0,3,3,1,3,1,1,3,3,1,1,3,1,1,3,3,3,1,1,1,3,1,1,1,1,3,11,1,3,1,3,3,1,3,3,3,3,1,3,1,1,2,1
1651,cg10943191,chr1,1850413,1850415,+,TMEM52,TMEM52,chr1:1850462-1850596,48.0,4,4,3,3,1,2,4,3,1,1,4,4,2,4,4,2,2,1,2,1,2,4,1,4,4,4,2,3,3,4,3,4,3,4,3,3,2,3,1,4,4,4
1794,cg24087944,chr1,1950110,1950112,-,GABRD,GABRD,chr1:1976373-1976507,26262.0,16,15,17,17,16,15,17,17,17,16,15,17,17,15,16,15,15,17,17,6,17,17,16,17,16,15,17,17,16,17,16,6,15,16,16,11,16,16,16,18,17,17
1800,cg06063714,chr1,1951513,1951515,-,GABRD,GABRD,chr1:1976373-1976507,24859.0,16,15,15,16,15,16,17,15,11,16,15,14,17,14,15,15,14,16,17,11,14,15,16,16,15,16,15,16,16,15,15,6,4,16,15,12,15,15,16,3,15,15
1848,cg21137823,chr1,1981269,1981271,+,PRKCZ;RP11-547D24.3,PRKCZ;RP11-547D24.3,chr1:1980969-1981103,167.0,2,14,14,3,14,3,1,14,3,14,14,14,16,14,14,14,16,1,1,4,15,14,3,4,14,14,14,3,1,4,3,3,3,14,14,3,14,14,1,14,4,14
1852,cg24035370,chr1,1982433,1982435,-,PRKCZ;RP11-547D24.3,PRKCZ;RP11-547D24.3,chr1:1980969-1981103,1331.0,2,15,16,1,14,2,1,14,2,16,17,17,17,14,15,14,17,2,2,2,18,15,1,17,14,1,16,4,2,2,2,2,2,14,16,4,14,15,2,17,2,2
2135,cg24649713,chr1,2125978,2125980,+,C1orf86,FAAP20,chr1:2126730-2126864,751.0,1,2,10,1,1,1,10,10,10,1,1,2,1,2,2,2,10,1,1,2,6,2,1,1,1,2,10,10,2,1,1,2,1,2,1,10,2,2,1,1,2,1
2142,cg05940463,chr1,2126640,2126642,-,C1orf86,FAAP20,chr1:2126730-2126864,89.0,3,3,1,3,3,1,1,3,10,1,3,1,1,3,3,3,1,10,1,1,1,1,3,1,1,3,1,3,1,1,1,1,1,3,3,10,1,3,1,1,3,1
2184,cg06382459,chr1,2159372,2159374,+,SKI,SKI,chr1:2160680-2160814,1307.0,10,6,6,10,2,2,10,10,10,2,6,6,2,2,2,2,6,2,2,10,6,6,10,2,1,6,6,10,1,10,2,2,2,2,2,10,6,2,10,6,6,2
2457,cg23207616,chr1,2322826,2322828,+,MORN1;RER1,MORN1;RER1,chr1:2316511-2316645,6182.0,1,2,1,1,2,1,1,1,2,1,3,1,1,2,3,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,3,1,1,1,3,1,2,1,1,1,2,1
2469,cg03533858,chr1,2324395,2324397,+,MORN1;RER1,MORN1;RER1,chr1:2316511-2316645,7751.0,4,8,4,3,3,4,3,3,4,3,4,4,11,3,4,8,9,3,4,4,4,4,3,4,4,4,4,3,3,4,3,4,4,11,4,4,3,4,3,4,11,4
2542,cg20664247,chr1,2345474,2345476,+,PEX10,PEX10,chr1:2345934-2346068,459.0,4,11,11,3,3,11,9,9,11,17,4,9,18,11,4,9,11,10,17,11,11,11,3,11,11,9,9,9,9,4,3,11,11,11,11,11,11,11,3,9,11,11
2733,cg20103201,chr1,2458020,2458022,-,PANK4,PANK4,chr1:2457618-2457752,269.0,2,2,1,2,1,1,10,1,10,1,2,1,2,2,2,2,1,1,2,2,1,2,1,2,1,2,1,10,1,1,1,1,1,2,1,10,2,1,1,1,2,1
2741,cg09044743,chr1,2458237,2458239,-,PANK4,PANK4,chr1:2457618-2457752,486.0,4,4,1,11,3,3,9,3,11,3,4,3,1,14,3,14,3,1,18,4,3,3,4,4,3,15,3,9,1,3,3,3,3,4,3,9,4,3,3,3,4,3
2809,cg05610148,chr1,2517424,2517426,-,FAM213B,FAM213B,chr1:2509999-2510133,7292.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1
3141,cg04716261,chr1,2937998,2938000,-,ACTRT2,ACTRT2,chr1:2940709-2940843,2710.0,17,16,17,17,11,18,13,17,18,17,16,17,18,16,17,16,17,17,17,18,17,17,17,17,17,17,18,17,17,18,17,18,17,17,17,6,17,17,17,17,18,17
3195,cg08528984,chr1,2985217,2985219,-,LINC00982;PRDM16,LINC00982;PRDM16,chr1:2986266-2986400,1048.0,2,14,14,2,14,1,3,14,1,14,14,14,1,15,14,14,14,1,2,2,2,14,1,1,14,15,2,11,2,14,2,2,3,16,15,15,4,14,17,1,14,14
3203,cg08537652,chr1,2986361,2986363,+,LINC00982;PRDM16,LINC00982;PRDM16,chr1:2986266-2986400,0.0,2,14,2,2,2,1,1,1,1,2,2,2,1,14,4,14,2,1,1,1,2,2,1,1,14,17,1,2,2,1,4,2,1,16,2,1,2,14,2,1,16,2
3843,cg02737335,chr1,3379883,3379885,-,ARHGEF16,ARHGEF16,chr1:3374251-3374385,5499.0,6,17,17,6,5,18,6,18,5,18,17,18,18,16,18,5,18,6,6,6,18,18,5,18,17,11,18,18,5,11,5,6,18,18,17,6,17,17,6,18,6,18
3846,cg24919884,chr1,3380287,3380289,-,ARHGEF16,ARHGEF16,chr1:3374251-3374385,5903.0,6,15,17,5,5,18,6,18,5,18,17,18,18,16,18,5,18,6,6,6,18,18,5,18,17,11,18,18,5,11,5,6,18,18,17,6,17,11,6,18,6,18
4040,cg07453618,chr1,3541081,3541083,-,RP11-46F15.2;TPRG1L,RP11-46F15.2;TPRG1L,chr1:3542309-3542443,1227.0,1,2,1,1,1,1,1,1,1,1,1,1,2,2,3,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,3,1,1,1,1,1,2,1,1,1,2,1
4046,cg10074513,chr1,3541655,3541657,+,RP11-46F15.2;TPRG1L,RP11-46F15.2;TPRG1L,chr1:3542309-3542443,653.0,1,2,2,1,1,1,1,2,1,1,2,2,2,2,2,1,2,1,1,2,2,2,1,1,1,2,1,1,1,1,1,2,1,2,1,1,2,2,1,2,2,1
4114,cg13501117,chr1,3566576,3566578,+,WRAP73,WRAP73,chr1:3566521-3566655,0.0,2,14,1,2,2,1,2,1,2,2,2,2,2,2,3,14,1,2,2,2,2,1,2,2,1,2,1,2,2,2,2,1,1,2,4,2,2,2,2,2,2,2
4134,cg26128092,chr1,3567549,3567551,-,WRAP73,WRAP73,chr1:3566521-3566655,895.0,14,15,14,15,15,15,15,14,11,14,14,15,6,15,15,15,14,16,16,11,14,16,15,11,14,15,15,11,15,15,14,2,4,15,15,15,14,15,16,15,16,15
4143,cg04391111,chr1,3568003,3568005,-,TP73;WRAP73,TP73;WRAP73,chr1:3566521-3566655,1349.0,16,15,15,16,15,15,15,15,11,14,14,15,6,15,15,15,15,15,16,11,15,16,15,2,14,15,15,11,15,15,14,4,4,15,15,15,15,15,15,16,15,15
4147,cg00565688,chr1,3568211,3568213,-,TP73;WRAP73,TP73;WRAP73,chr1:3566521-3566655,1557.0,16,15,14,16,15,15,15,15,4,14,14,15,6,15,15,15,15,16,16,11,16,16,15,2,16,15,16,11,15,15,14,2,4,16,16,15,15,15,15,16,15,15
4151,cg25885108,chr1,3568668,3568670,+,TP73;WRAP73,TP73;WRAP73,chr1:3566521-3566655,2014.0,16,16,16,14,16,14,15,14,11,14,14,16,6,15,14,15,16,16,16,11,17,15,16,14,14,15,16,4,15,15,14,2,4,16,15,15,14,14,15,16,15,16
4157,cg19783114,chr1,3569045,3569047,-,TP73;WRAP73,TP73;WRAP73,chr1:3566521-3566655,2391.0,16,16,16,15,16,2,15,16,11,14,14,16,2,15,15,15,16,16,2,4,17,16,16,14,14,16,16,11,15,14,14,2,4,16,15,15,15,16,15,16,15,16
4158,cg16741710,chr1,3569385,3569387,+,TP73;WRAP73,TP73;WRAP73,chr1:3566521-3566655,2731.0,16,14,16,15,16,17,15,16,4,14,14,15,2,14,14,14,15,16,2,4,17,16,16,14,14,16,16,4,15,14,14,4,4,14,15,15,15,14,15,15,15,14
4159,cg05924583,chr1,3569623,3569625,-,TP73;WRAP73,TP73;WRAP73,chr1:3566521-3566655,2969.0,16,14,16,16,14,17,16,16,17,16,15,16,17,15,16,14,16,16,6,11,17,16,15,16,16,15,17,11,16,16,14,17,17,14,16,15,15,14,15,16,16,16
4168,cg03568718,chr1,3579872,3579874,-,RP5-1092A11.5;TP73,RP5-1092A11.5;TP73,chr1:3589987-3590121,10114.0,17,16,17,17,17,18,18,17,18,18,16,17,17,16,17,16,17,17,18,18,17,17,17,17,13,9,17,18,18,18,17,6,17,17,17,6,17,17,17,18,17,17
4169,cg21906716,chr1,3579977,3579979,+,RP5-1092A11.5;TP73,RP5-1092A11.5;TP73,chr1:3589987-3590121,10009.0,17,16,17,17,17,18,18,17,18,18,16,17,17,16,17,16,17,17,18,18,17,17,17,17,13,9,17,18,18,18,17,6,17,17,17,6,17,17,17,18,17,17
4194,cg25115460,chr1,3607109,3607111,+,TP73,TP73,chr1:3612297-3612431,5187.0,17,16,17,17,17,18,6,17,18,18,17,18,18,16,16,16,17,18,18,6,18,17,17,17,18,15,17,18,17,11,17,6,17,6,17,6,17,17,17,18,6,17
4196,cg16607065,chr1,3607221,3607223,-,TP73,TP73,chr1:3612297-3612431,5075.0,17,16,17,17,17,18,6,17,18,18,17,18,18,16,16,16,17,18,18,6,18,17,17,17,18,15,17,18,17,11,17,6,17,6,17,6,17,17,17,18,6,17
4197,cg03846767,chr1,3607291,3607293,-,TP73,TP73,chr1:3612297-3612431,5005.0,17,16,17,17,17,18,6,17,18,18,17,18,18,16,16,16,17,18,18,6,18,17,17,17,18,15,17,18,17,11,17,6,17,6,17,6,17,17,17,18,6,17
4199,cg26208930,chr1,3607424,3607426,-,TP73,TP73,chr1:3612297-3612431,4872.0,17,16,17,17,17,18,6,17,18,18,16,18,18,16,16,16,17,18,18,6,18,17,17,17,18,15,17,18,17,4,17,6,17,6,17,12,17,17,17,2,6,17
4287,cg08670691,chr1,3668941,3668943,-,CCDC27,CCDC27,chr1:3692610-3692744,23668.0,17,16,17,17,16,17,18,18,18,18,16,18,18,16,16,16,17,17,17,18,18,18,16,17,17,17,17,17,17,18,17,6,17,18,17,13,17,17,17,18,17,17
4348,cg14550570,chr1,3712987,3712989,-,LRRC47,LRRC47,chr1:3718141-3718275,5153.0,1,2,1,1,2,1,1,1,1,1,2,2,1,2,1,2,1,1,2,2,1,1,2,2,1,2,1,1,1,1,1,1,1,2,1,1,2,2,1,1,1,1
4351,cg19148051,chr1,3713095,3713097,-,LRRC47,LRRC47,chr1:3718141-3718275,5045.0,1,2,1,2,2,1,1,1,2,1,2,2,2,2,1,2,1,1,2,2,1,1,2,2,1,2,1,1,1,1,2,1,1,2,1,1,2,2,2,1,2,1
4399,cg14213620,chr1,3773908,3773910,+,CEP104;DFFB,CEP104;DFFB,chr1:3773837-3773971,0.0,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1
4443,cg25762395,chr1,3816841,3816843,-,C1orf174;LINC01134,C1orf174;LINC01134,chr1:3816251-3816385,457.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1
4444,cg09633588,chr1,3817015,3817017,-,C1orf174;LINC01134,C1orf174;LINC01134,chr1:3816251-3816385,631.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1
4589,cg17525406,chr1,4715519,4715521,+,AJAP1,AJAP1,chr1:4716460-4716594,940.0,17,15,17,17,16,16,16,1,18,4,4,1,17,14,4,16,1,15,2,4,1,1,2,2,14,15,1,11,17,14,14,2,14,17,17,14,14,14,17,1,15,14
4912,cg13614083,chr1,6085871,6085873,-,KCNAB2,KCNAB2,chr1:6088758-6088892,2886.0,2,15,17,1,3,1,11,18,6,18,15,10,17,16,11,16,10,10,1,11,10,18,3,18,11,15,10,18,10,2,3,6,6,11,15,9,17,15,1,6,11,10
4917,cg19814116,chr1,6086447,6086449,+,KCNAB2,KCNAB2,chr1:6088758-6088892,2310.0,2,15,17,1,3,9,1,18,4,18,14,10,17,16,4,16,10,1,10,4,10,18,3,18,1,14,10,1,1,1,1,6,4,3,14,3,2,14,3,2,15,1
5051,cg08080029,chr1,6239969,6239971,-,CHD5,CHD5,chr1:6240478-6240612,508.0,17,15,17,17,16,16,15,16,11,2,2,2,2,16,16,16,2,17,2,11,2,2,16,2,14,17,17,17,15,15,15,2,2,16,17,15,16,16,17,2,16,2
5058,cg00282347,chr1,6241039,6241041,-,CHD5,CHD5,chr1:6240478-6240612,428.0,16,15,11,16,16,17,11,11,17,15,3,11,6,15,15,15,6,16,6,6,6,15,15,11,14,15,17,11,15,15,16,11,11,15,15,4,14,15,17,6,15,15
5069,cg23323711,chr1,6259144,6259146,+,RPL22,RPL22,chr1:6265033-6265167,5888.0,4,1,2,3,1,1,1,1,2,1,2,1,2,1,3,1,1,1,1,2,1,1,1,2,1,1,1,2,1,1,4,2,3,2,3,1,1,1,2,1,1,1
5076,cg14303330,chr1,6259904,6259906,-,RPL22,RPL22,chr1:6265033-6265167,5128.0,1,2,1,1,1,1,10,1,1,2,1,1,2,1,1,1,2,10,2,2,1,1,1,2,2,1,1,1,10,2,1,2,1,1,1,10,1,1,1,1,2,1
5085,cg19180828,chr1,6265219,6265221,-,RNF207;RP1-120G22.11;RPL22,RNF207;RP1-120G22.11;RPL22,chr1:6265033-6265167,53.0,3,15,3,3,3,3,10,14,9,2,4,2,2,15,4,14,2,9,17,4,2,3,3,11,15,3,4,3,10,3,4,3,3,16,14,9,4,14,3,14,11,3
5088,cg03716999,chr1,6265801,6265803,-,RNF207;RP1-120G22.11;RPL22,RNF207;RP1-120G22.11;RPL22,chr1:6265372-6265506,296.0,1,14,1,3,1,1,3,14,1,1,3,14,1,14,4,14,4,1,1,3,2,14,1,4,14,3,2,3,1,3,3,1,1,14,14,4,2,14,1,14,3,1
5101,cg15731815,chr1,6269259,6269261,+,RNF207;RPL22,RNF207;RPL22,chr1:6269367-6269501,107.0,2,14,6,4,11,9,11,3,4,2,4,2,6,14,4,14,2,2,2,4,2,2,4,4,14,11,2,6,4,4,4,2,3,16,4,11,2,4,2,2,4,2
5119,cg17145806,chr1,6295536,6295538,+,ICMT;LINC00337,ICMT;LINC00337,chr1:6298813-6298947,3276.0,4,4,4,2,1,1,4,1,2,1,4,3,2,3,4,4,1,1,1,2,3,3,1,4,3,3,1,1,1,1,3,3,3,4,3,2,2,4,2,1,2,1
5123,cg17992056,chr1,6296334,6296336,+,ICMT;LINC00337,ICMT;LINC00337,chr1:6298813-6298947,2478.0,2,14,2,1,2,1,1,2,17,2,2,2,2,14,4,2,2,2,2,2,2,2,1,2,4,1,2,4,1,1,4,1,1,4,4,2,2,3,1,2,17,2
5128,cg06940574,chr1,6297127,6297129,-,ICMT;LINC00337,ICMT;LINC00337,chr1:6298813-6298947,1685.0,17,17,17,17,17,17,17,17,17,17,17,17,17,16,17,16,17,17,17,6,17,17,17,17,17,17,17,17,17,17,17,6,17,17,17,17,17,17,17,17,17,17
5129,cg15341760,chr1,6297889,6297891,-,LINC00337,LINC00337,chr1:6298813-6298947,923.0,17,16,17,17,17,17,17,17,17,17,17,17,17,16,17,16,17,17,17,6,17,16,17,17,17,17,17,17,17,17,17,6,17,17,17,17,17,17,17,17,17,17
5172,cg14958889,chr1,6320470,6320472,-,GPR153,GPR153,chr1:6328586-6328720,8115.0,2,2,2,1,1,2,2,14,6,2,2,2,2,14,2,14,2,1,2,11,6,2,1,1,1,11,17,11,2,1,1,2,2,14,2,1,2,2,2,2,15,2
5173,cg21927975,chr1,6320756,6320758,+,GPR153,GPR153,chr1:6328586-6328720,7829.0,2,2,2,1,1,2,2,14,2,2,2,2,2,14,2,14,2,1,2,4,6,2,1,1,3,4,17,4,3,1,3,2,4,14,2,1,2,2,3,2,14,2
5177,cg04055049,chr1,6321552,6321554,+,GPR153,GPR153,chr1:6328586-6328720,7033.0,2,14,1,3,3,4,10,14,2,14,4,2,2,14,4,14,2,10,2,4,6,14,3,1,14,3,17,4,10,3,4,1,3,14,3,3,14,3,9,2,4,14
5178,cg14566624,chr1,6321581,6321583,+,GPR153,GPR153,chr1:6328586-6328720,7004.0,2,14,1,3,3,4,10,14,2,14,4,2,2,14,4,14,2,10,2,4,6,14,3,1,14,3,17,4,10,3,4,1,3,14,3,3,14,3,9,2,4,14
5269,cg17236617,chr1,6454201,6454203,-,ACOT7;RP1-202O8.3,ACOT7;RP1-202O8.3,chr1:6454103-6454237,0.0,3,3,3,3,3,3,10,3,10,3,3,3,1,3,3,3,3,3,1,1,3,3,3,1,3,3,3,3,1,1,3,3,3,3,3,9,3,3,3,3,3,3
5271,cg25165880,chr1,6454325,6454327,-,ACOT7;RP1-202O8.3,ACOT7;RP1-202O8.3,chr1:6454103-6454237,89.0,3,3,3,3,3,3,10,3,10,3,3,3,1,3,3,3,3,3,1,1,3,3,3,1,3,3,3,3,1,1,3,3,3,3,3,9,3,3,3,3,3,3
5298,cg09549827,chr1,6484615,6484617,-,ESPN;HES2,ESPN;HES2,chr1:6483620-6483754,862.0,16,15,16,15,16,16,15,16,11,16,15,16,17,15,15,16,16,16,17,11,16,16,16,17,16,15,16,15,15,2,15,6,14,16,15,11,15,16,15,16,16,16
5303,cg13066963,chr1,6485316,6485318,+,ESPN;HES2,ESPN;HES2,chr1:6483620-6483754,1563.0,14,15,16,14,15,16,15,16,4,16,15,15,16,16,14,16,16,16,16,11,16,16,16,17,16,15,16,16,15,14,14,6,15,16,15,11,15,15,4,16,16,16
5355,cg02084087,chr1,6526048,6526050,+,TNFRSF25,TNFRSF25,chr1:6524711-6524845,1204.0,2,15,6,1,4,6,10,6,6,17,17,6,6,16,6,16,6,1,17,6,6,17,3,6,14,15,17,18,1,2,1,6,16,14,17,3,16,15,1,6,15,6
