GEO Dataset,Control SRR list 1,Control SRR list 2,H3K4me3 GEO,H3K4me3 SRR list,H3K27ac GEO,H3K27ac SRR list,H3K4me1 GEO,H3K4me1 SRR list,H3K27me3 GEO,H3K27me3 SRR list,H3K9me3 GEO,H3K9me3 SRR list,H3K36me3 GEO,H3K36me3 SRR list,Age,Age notes,Sex,"Cell line, primary cell, organoid, or tissue",Cell type class,Cell type,Cancer state,Disease (if any),Treatment (if any),Platform,SE or PE,biological replicate,technical replicate,biological or technical replicate,Study,Notes
GSE40050,SRR537081,,GSM984400,SRR537079,,,,,,,,,,,,,,cell line,Prostate,LNCAP,,,DHT 4h,Illumina Genome Analyzer IIx,SE,,,,DHT study,
GSE40668,SRR557727,,,,GSM998996,SRR557713,GSM998995,SRR557712,,,,,,,24,,M,tissue,Blood,B-cell (CD19+),,,,Illumina Genome Analyzer,SE,,,,,donor A
GSE40668,SRR557727,,,,GSM998997,SRR557714,GSM998994,SRR557711,,,,,,,28,,M,tissue,Blood,B-cell (CD19+),,,,Illumina Genome Analyzer,SE,,,,,donor C
GSE40668,SRR557729,SRR557730,,,GSM999000,SRR557717,GSM998998,SRR557715,,,,,,,24,,M,tissue,Blood,CD8-Positive T-Lymphocytes,,,,Illumina Genome Analyzer,SE,,,,,donor A
GSE40668,SRR557729,SRR557730,,,GSM999001,SRR557718,GSM998999,SRR557716,,,,,,,28,,M,tissue,Blood,CD8-Positive T-Lymphocytes,,,,Illumina Genome Analyzer,SE,,,,,donor E
GSE40668,SRR557731,,,,GSM999004,SRR557721,GSM999002,SRR557719,,,,,,,23,,M,tissue,Blood,CD4-Positive T-Lymphocytes,,,,Illumina Genome Analyzer,SE,,,,,donor F
GSE40668,SRR557731,,,,GSM999005,SRR557722,GSM999003,SRR557720,,,,,,,30,,F,tissue,Blood,CD4-Positive T-Lymphocytes,,,,Illumina Genome Analyzer,SE,,,,,donor A
GSE40668,SRR557728,,,,GSM999008,SRR557725,GSM999007,SRR557724,,,,,,,24,,M,tissue,Blood,CD56+,,,,Illumina Genome Analyzer,SE,,,,,donor C
GSE40668,SRR557728,,,,GSM999009,SRR557726,GSM999006,SRR557723,,,,,,,28,,M,tissue,Blood,CD56+,,,,Illumina Genome Analyzer,SE,,,,,
GSE42147,SRR611893,,GSM1033552,SRR611886,,,,,,,,,,,,,,cell line,Blood,CD4+,,,,Illumina HiSeq 2000,SE,,,,cell number study,2x10e7 cells
GSE42147,SRR611894,,GSM1033553,SRR611887,,,,,,,,,,,,,,cell line,Blood,CD4+,,,,Illumina HiSeq 2000,SE,,,,cell number study,2x10e7 cells
GSE42147,SRR611895,,GSM1033554,SRR611888,,,,,,,,,,,,,,cell line,Blood,CD4+,,,,Illumina HiSeq 2000,SE,,,,cell number study,2.5x10e6 cells
GSE42147,SRR611896,,GSM1033555,SRR611889,,,,,,,,,,,,,,cell line,Blood,CD4+,,,,Illumina HiSeq 2000,SE,,,,cell number study,0.5x10e6 cells
GSE42147,SRR611897,,GSM1033556,SRR611890,,,,,,,,,,,,,,cell line,Blood,CD4+,,,,Illumina HiSeq 2000,SE,,,,cell number study,1x10e5 cells
GSE42147,SRR611898,,GSM1033557,SRR611892; SRR611891,,,,,,,,,,,,,,cell line,Blood,CD4+,,,,Illumina HiSeq 2000,SE,,,,cell number study,2x10e4 cells
GSE42211,SRR616131,,GSM1035429,SRR616137,,,,,GSM1035430,SRR616138,GSM1035431,SRR616139,,,,,,cell line,Lung,WI-38,,,normal ,Illumina Genome Analyzer IIx,SE,,,,senescence study,
GSE42211,SRR616140,,GSM1035438,SRR616146,,,,,GSM1035439,SRR616147,GSM1035440,SRR616148,,,,,,cell line,Lung,WI-38,,,oncogene induced senescence day 0,Illumina Genome Analyzer IIx,SE,,,,senescence study,
GSE43070,SRR639052,,GSM1055816,SRR639065,GSM1055818,SRR639067; SRR639068; SRR639069,GSM1055814,SRR639059; SRR639060; SRR639061,,,,,GSM1055820,SRR639073,,,,cell line,Lung,Lung fibroblasts,,,control,Illumina HiSeq 2000,SE,,,,TNF study,
GSE43070,SRR639053,,GSM1055817,SRR639066,GSM1055819,SRR639070; SRR639071; SRR639072,GSM1055815,SRR639062; SRR639063; SRR639064,,,,,GSM1055821,SRR639074,,,,cell line,Lung,Lung fibroblasts,,,TNF,Illumina HiSeq 2000,SE,,,,TNF study,
GSE52285,SRR1220054,,GSM1262399,SRR1028765,,,,,GSM1262401,SRR1028767,,,,,,,,cell line,Others,Mesenchymal stem cells,,,control,Illumina HiSeq 2000,PE,,,,progeria study,
GSE52285,SRR1220055,,GSM1262400,SRR1028766,,,,,GSM1262402,SRR1028768,,,,,,,,cell line,Others,Mesenchymal stem cells,,,WRN KO,Illumina HiSeq 2000,PE,,,,progeria study,
GSE52617,SRR1736383,,GSM1571898,SRR1736381,GSM1571895,SRR1736378,GSM1571897,SRR1736380,GSM1571896,SRR1736379,GSM1571899,SRR1736382,,,,,,cell line,Pluripotent stem cell,hESC LIS2,,,naïve,Illumina HiSeq 2000,SE,,,,,
GSE52617,SRR1736389,,GSM1571904,SRR1736387,GSM1571901,SRR1736384,GSM1571903,SRR1736386,GSM1571902,SRR1736385,GSM1571905,SRR1736388,,,,,,cell line,Pluripotent stem cell,hESC LIS2,,,primed,Illumina HiSeq 2000,SE,,,,,
GSE52617,SRR1736395,,GSM1571910,SRR1736393,GSM1571907,SRR1736390,GSM1571909,SRR1736392,GSM1571908,SRR1736391,GSM1571911,SRR1736394,,,,,,cell line,Pluripotent stem cell,hESC WIS2,,,naïve,Illumina HiSeq 2000,SE,,,,,
GSE52617,SRR1736401,,GSM1571916,SRR1736399,GSM1571913,SRR1736396,GSM1571915,SRR1736398,GSM1571914,SRR1736397,GSM1571917,SRR1736400,,,,,,cell line,Pluripotent stem cell,hESC WIS2,,,primed,Illumina HiSeq 2000,SE,,,,,
GSE53491,SRR1055358,,GSM1922387,SRR2877562,,,,,,,,,GSM1922388,SRR2877563,,,,cell line,Lung,IMR-90,,,growing,Illumina Genome Analyzer IIx,SE,,,,senescence study,
GSE53491,SRR1055354; SRR1055355,,GSM1922389,SRR2877564; SRR2877565,,,,,,,,,GSM1922390,SRR2877565,,,,cell line,Lung,IMR-90,,,checkpoint,Illumina Genome Analyzer IIx,SE,,,,senescence study,
GSE53491,SRR1055357; SRR1055366,2,GSM1922391,SRR2877567; SRR2877568,,,,,,,,,GSM1922392,SRR2877567,,,,cell line,Lung,IMR-90,,,OIS,Illumina Genome Analyzer IIx,SE,,,,senescence study,
GSE53491,SRR1055356; SRR1055363,2,GSM1922393,SRR2877570,,,,,,,,,GSM1922394,SRR2877569,,,,cell line,Lung,IMR-90,,,pro-apoptotic,Illumina Genome Analyzer IIx,SE,,,,senescence study,
GSE53998,SRR1106530; SRR1106531,2,GSM1305207,SRR1106521,GSM1305204,SRR1106518,,,,,,,,,,,,cell line,Cardiovascular,HUVEC,,,control,Illumina HiSeq 2000,SE,,,,TNF + JQ1 study,
GSE53998,SRR1106532; SRR1106533,2,GSM1305208,SRR1106522,GSM1305205,SRR1106519,,,,,,,,,,,,cell line,Cardiovascular,HUVEC,,,TNF,Illumina HiSeq 2000,SE,,,,TNF + JQ1 study,
GSE53998,SRR1106534; SRR1106535,2,GSM1305209,SRR1106523,GSM1305206,SRR1106520,,,,,,,,,,,,cell line,Cardiovascular,HUVEC,,,TNF+JQ1,Illumina HiSeq 2000,SE,,,,TNF + JQ1 study,
GSE54471,SRR1145799,,,,GSM1316300,SRR1145795,GSM1316302,SRR1145797,,,,,,,,,,cell line,Pluripotent stem cell,hESC Cyt49,,,,Illumina HiSeq 2500,SE,1,,,differentiation study,day 0
GSE54471,SRR1145800,,,,GSM1316301,SRR1145796,GSM1316303,SRR1145798,,,,,,,,,,cell line,Pluripotent stem cell,hESC Cyt49,,,,Illumina HiSeq 2500,SE,2,,,differentiation study,day 0
GSE54471,SRR1145806,,,,GSM1316307,SRR1145802,GSM1316309,SRR1145804,,,,,,,,,,cell line,Pluripotent stem cell,hESC derived mesendodermal cells,,,,Illumina HiSeq 2500,SE,1,,,differentiation study,day 2
GSE54471,SRR1145807,,,,GSM1316308,SRR1145803,GSM1316310,SRR1145805,,,,,,,,,,cell line,Pluripotent stem cell,hESC derived mesendodermal cells,,,,Illumina HiSeq 2500,SE,2,,,differentiation study,day 2
GSE54471,SRR1145813,,,,GSM1316314,SRR1145809,GSM1316316,SRR1145811,,,,,,,,,,cell line,Pluripotent stem cell,hESC derived mesendodermal cells,,,,Illumina HiSeq 2500,SE,1,,,differentiation study,day 5
GSE54471,SRR1145814,,,,GSM1316315,SRR1145810,GSM1316317,SRR1145812,,,,,,,,,,cell line,Pluripotent stem cell,hESC derived mesendodermal cells,,,,Illumina HiSeq 2500,SE,2,,,differentiation study,day 5
GSE54471,SRR1145820,,,,GSM1316321,SRR1145816,GSM1316323,SRR1145818,,,,,,,,,,cell line,Pluripotent stem cell,hESC derived mesendodermal cells,,,,Illumina HiSeq 2500,SE,1,,,differentiation study,day 7
GSE54471,SRR1145821,,,,GSM1316322,SRR1145817,GSM1316324,SRR1145819,,,,,,,,,,cell line,Pluripotent stem cell,hESC derived mesendodermal cells,,,,Illumina HiSeq 2500,SE,2,,,differentiation study,day 7
GSE54471,SRR1145827,,,,GSM1316328,SRR1145823,GSM1316330,SRR1145825,,,,,,,,,,cell line,Pluripotent stem cell,hESC derived mesendodermal cells,,,,Illumina HiSeq 2500,SE,1,,,differentiation study,day 10
GSE54471,SRR1145828,,,,GSM1316329,SRR1145824,GSM1316331,SRR1145826,,,,,,,,,,cell line,Pluripotent stem cell,hESC derived mesendodermal cells,,,,Illumina HiSeq 2500,SE,2,,,differentiation study,day 10
GSE54909,SRR1168211; SRR1168212,2,GSM1326437,SRR1168193,,,,,,,GSM1326449,SRR1168205,,,,,,cell line,Cardiovascular,HAEC,,,control,Illumina Genome Analyzer IIx,SE,,,1,deacetylase inhibition study,
GSE54909,SRR1168211; SRR1168212,2,GSM1326438,SRR1168194,,,,,,,GSM1326450,SRR1168206,,,,,,cell line,Cardiovascular,HAEC,,,control,Illumina Genome Analyzer IIx,SE,,,2,deacetylase inhibition study,
GSE54909,SRR1168211; SRR1168212,2,GSM1326439,SRR1168195,,,,,,,GSM1326451,SRR1168207,,,,,,cell line,Cardiovascular,HAEC,,,control,Illumina Genome Analyzer IIx,SE,,,3,deacetylase inhibition study,
GSE54909,SRR1168212,,GSM1326440,SRR1168196,,,,,,,GSM1326452,SRR1168208,,,,,,cell line,Cardiovascular,HAEC,,,SAHA,Illumina Genome Analyzer IIx,SE,,,1,deacetylase inhibition study,
GSE54909,SRR1168212,,GSM1326441,SRR1168197,,,,,,,GSM1326453,SRR1168209,,,,,,cell line,Cardiovascular,HAEC,,,SAHA,Illumina Genome Analyzer IIx,SE,,,2,deacetylase inhibition study,
GSE54909,SRR1168212,,GSM1326442,SRR1168198,,,,,,,GSM1326454,SRR1168210,,,,,,cell line,Cardiovascular,HAEC,,,SAHA,Illumina Genome Analyzer IIx,SE,,,3,deacetylase inhibition study,
GSE54972,SRR1168478,,,,GSM1327357,SRR1168474,,,,,,,,,,,,cell line,Blood,Macrophages,,,control,Illumina HiSeq 2000,PE,,,1,cholesterol study,
GSE54972,SRR1168478,,,,GSM1327358,SRR1168475,,,,,,,,,,,,cell line,Blood,Macrophages,,,control,Illumina HiSeq 2000,PE,,,2,cholesterol study,
GSE54972,SRR1168478,,,,GSM1327359,SRR1168476,,,,,,,,,,,,cell line,Blood,Macrophages,,,oxLDL,Illumina HiSeq 2000,PE,,,1,cholesterol study,
GSE54972,SRR1168478,,,,GSM1327360,SRR1168477,,,,,,,,,,,,cell line,Blood,Macrophages,,,oxLDL,Illumina HiSeq 2000,PE,,,2,cholesterol study,
GSE55502,SRR1182191; SRR1182192,,GSM1338273,SRR1182180; SRR1182179,,,,,GSM1338276,SRR1182185; SRR1182186,,,,,,,,cell line,Pluripotent stem cell,hESC H9,,,,Illumina Genome Analyzer II,SE,,,,cell cycle study,G2
GSE55502,SRR1182193; SRR1182194,,GSM1338274,SRR1182181; SRR1182182,,,,,GSM1338277,SRR1182187; SRR1182188,,,,,,,,cell line,Pluripotent stem cell,hESC H9,,,,Illumina Genome Analyzer II,SE,,,,cell cycle study,M
GSE55502,SRR1182195; SRR1182196,,GSM1338275,SRR1182183; SRR1182184,,,,,GSM1338278,SRR1182189; SRR1182190,,,,,,,,cell line,Pluripotent stem cell,hESC H9,,,,Illumina Genome Analyzer II,SE,,,,cell cycle study,G1
GSE55502,SRR1182197; SRR1182198,,GSM1338285,SRR1182203; SRR1182204,,,,,GSM1338288,SRR1182209; SRR1182210,,,,,,,,cell line,Pluripotent stem cell,hESC H9 PAX6+,,,,Illumina Genome Analyzer II,SE,,,,cell cycle study,G2
GSE55502,SRR1182199; SRR1182200,,GSM1338286,SRR1182206; SRR1182205,,,,,GSM1338289,SRR1182211; SRR1182212,,,,,,,,cell line,Pluripotent stem cell,hESC H9 PAX6+,,,,Illumina Genome Analyzer II,SE,,,,cell cycle study,M
GSE55502,SRR1182202; SRR1182201,,GSM1338287,SRR1182207; SRR1182208,,,,,GSM1338290,SRR1182213; SRR1182214,,,,,,,,cell line,Pluripotent stem cell,hESC H9 PAX6+,,,,Illumina Genome Analyzer II,SE,,,,cell cycle study,G1
GSE57436,SRR1275465,,GSM1382470,SRR1275461,GSM1382472,SRR1275463,GSM1382468,SRR1275459,,,,,,,,,,cell line,Breast,MCF-7,,,EtOH,Illumina HiSeq 2000,SE,1,,,17-b-estradiol study,
GSE57436,SRR1275466,,GSM1382471,SRR1275462,GSM1382473,SRR1275464,GSM1382469,SRR1275460,,,,,,,,,,cell line,Breast,MCF-7,,,EtOH,Illumina HiSeq 2000,SE,2,,,17-b-estradiol study,
GSE57436,SRR1275475,,GSM1382480,SRR1275471,GSM1382482,SRR1275473,GSM1382478,SRR1275469,,,,,,,,,,cell line,Breast,MCF-7,,,17-b-estradiol,Illumina HiSeq 2000,SE,1,,,17-b-estradiol study,
GSE57436,SRR1275476,,GSM1382481,SRR1275472,GSM1382483,SRR1275474,GSM1382479,SRR1275470,,,,,,,,,,cell line,Breast,MCF-7,,,17-b-estradiol,Illumina HiSeq 2000,SE,2,,,17-b-estradiol study,
GSE57637,SRR1285433,,GSM1385784,SRR1285427,GSM1385786,SRR1285429,,,,,,,,,,,,cell line,Digestive tract,TE7,,,control,Illumina HiSeq 2000,SE,,,,IL-13 study,
GSE57637,SRR1285433,,GSM1385787,SRR1285430,GSM1385789,SRR1285432,,,,,,,,,,,,cell line,Digestive tract,TE7,,,IL-13,Illumina HiSeq 2000,SE,,,,IL-13 study,
GSE57827,SRR1292700,,GSM1394659,SRR1292699,,,,,,,,,,,,,,cell line,Pluripotent stem cell,iPS cells,,FA disease,,Illumina HiSeq 2000,SE,,,,,
GSE57827,SRR1292702,,GSM1394661,SRR1292701,,,,,,,,,,,,,,cell line,Pluripotent stem cell,iPS cells,,FA disease,,Illumina HiSeq 2000,SE,,,,,
GSE57827,SRR1292704,,GSM1394663,SRR1292703,,,,,,,,,,,,,,cell line,Pluripotent stem cell,iPS cells,,FA disease,,Illumina HiSeq 2000,SE,,,,,
GSE57827,SRR1292706,,GSM1394665,SRR1292705,,,,,,,,,,,,,,cell line,Pluripotent stem cell,iPS cells,,FA disease,,Illumina HiSeq 2000,SE,,,,,
GSE58638,SRR1425178,,GSM1415874,SRR1425172,GSM1415876,SRR1425174,GSM1415875,SRR1425173,GSM1415877,SRR1425175,GSM1415878,SRR1425176,GSM1415879,SRR1425177,,,,cell line,Digestive tract,HCT 116,,,control,Illumina HiSeq 2000,SE,,,1,DNMT KO study,
GSE58638,SRR1425186,,GSM1415882,SRR1425180,GSM1415884,SRR1425182,GSM1415883,SRR1425181,GSM1415885,SRR1425183,GSM1415886,SRR1425184,GSM1415887,SRR1425185,,,,cell line,Digestive tract,DKO-1,,,DNMT3B & DNM1 KO,Illumina HiSeq 2000,SE,,,1,DNMT KO study,
GSE58638,SRR1425178,,GSM1420153,SRR1460697,,,GSM1420154,SRR1460698,GSM1420155,SRR1460699,GSM1420156,SRR1460700,GSM1420157,SRR1460701,,,,cell line,Digestive tract,HCT 116,,,control,Illumina HiSeq 2000,SE,,,2,DNMT KO study,
GSE58638,SRR1460708,,GSM1420159,SRR1460703,GSM1420161,SRR1460705,GSM1420160,SRR1460704,GSM1420162,SRR1460706,GSM1420163,SRR1460707,,,,,,cell line,Digestive tract,DKO-1,,,DNMT3B & DNM1 KO,Illumina HiSeq 2000,SE,,,2,DNMT KO study,
GSE58740,SRR1448788,,GSM1418959,SRR1448776,GSM1418963,SRR1448780,GSM1418961,SRR1448778,,,,,,,,,,cell line,Lung,IMR-90,,,DMSO,Illumina HiSeq 2000,SE,,,,p53 activation study,
GSE58740,SRR1448789,,GSM1418960,SRR1448777,GSM1418964,SRR1448781,GSM1418962,SRR1448779,,,,,,,,,,cell line,Lung,IMR-90,,,Nutlin-3a,Illumina HiSeq 2000,SE,,,,p53 activation study,
GSE59257,SRR1509752,,,,GSM1431908,SRR1509753,,,,,,,,,,,,cell line,Blood,Jurkat,,,control,Illumina Genome Analyzer II,SE,,,,Sodium butirate study,
GSE59257,SRR1509752,,,,GSM1431909,SRR1509754,,,,,,,,,,,,cell line,Blood,Jurkat,,,sodium butirate,Illumina Genome Analyzer II,SE,,,,Sodium butirate study,
GSE60626,SRR1555614,,GSM1483893,SRR1555615,,,,,,,,,,,,,,cell line,Blood,JJN-3,,,control,Illumina HiSeq 2500,SE,,,,demethylase inhibition study,
GSE60626,SRR1555614,,GSM1483894,SRR1555616,,,,,,,,,,,,,,cell line,Blood,JJN-3,,,6h DMSO,Illumina HiSeq 2500,SE,,,,demethylase inhibition study,
GSE60626,SRR1555614,,GSM1483895,SRR1555617,,,,,,,,,,,,,,cell line,Blood,JJN-3,,,6h GSK-J4,Illumina HiSeq 2500,SE,,,,demethylase inhibition study,
GSE60626,SRR1555614,,GSM1483896,SRR1555618,,,,,,,,,,,,,,cell line,Blood,JJN-3,,,48h DMSO,Illumina HiSeq 2500,SE,,,,demethylase inhibition study,
GSE60626,SRR1555614,,GSM1483897,SRR1555619,,,,,,,,,,,,,,cell line,Blood,JJN-3,,,48h GSK-J4,Illumina HiSeq 2500,SE,,,,demethylase inhibition study,
GSE60626,SRR1555614,,GSM1483898,SRR1555620,,,,,,,,,,,,,,cell line,Blood,JJN-3,,,7d LNA,Illumina HiSeq 2500,SE,,,,demethylase inhibition study,
GSE60626,SRR1555614,,GSM1483899,SRR1555621,,,,,,,,,,,,,,cell line,Blood,JJN-3,,,7d control,Illumina HiSeq 2500,SE,,,,demethylase inhibition study,
GSE61176,SRR1566140,,GSM1498896,SRR1566124,GSM1498904,SRR1566132,GSM1498908,SRR1566136,GSM1498900,SRR1566128,,,,,,,,cell line,Pluripotent stem cell,Embryonic Stem Cells,,,,Illumina HiSeq 2000,SE,,,,cell cycle study,G2/M
GSE61176,SRR1566141,,GSM1498897,SRR1566125,GSM1498905,SRR1566133,GSM1498909,SRR1566137,GSM1498901,SRR1566129,,,,,,,,cell line,Pluripotent stem cell,Embryonic Stem Cells,,,,Illumina HiSeq 2000,SE,,,,cell cycle study,S-phase
GSE61176,SRR1566142,,GSM1498898,SRR1566126,GSM1498906,SRR1566134,GSM1498910,SRR1566138,GSM1498902,SRR1566130,,,,,,,,cell line,Pluripotent stem cell,Embryonic Stem Cells,,,,Illumina HiSeq 2000,SE,,,,cell cycle study,late G1
GSE61176,SRR1566143,,GSM1498899,SRR1566127,GSM1498907,SRR1566135,GSM1498911,SRR1566139,GSM1498903,SRR1566131,,,,,,,,cell line,Pluripotent stem cell,Embryonic Stem Cells,,,,Illumina HiSeq 2000,SE,,,,cell cycle study,early G1
GSE62245,SRR1610148,,,,GSM1523532,SRR1610147,,,,,,,,,44,,F,tissue,Blood,B-cell (CD19+),Yes,,,Illumina HiSeq 2000,SE,,,,cancer study,
GSE62245,SRR1610152,,,,GSM1523535,SRR1610150,,,,,,,,,53,,M,tissue,Blood,B-cell (CD19+),Yes,,,Illumina HiSeq 2000,SE,,,,cancer study,
GSE62245,SRR1610161,,,,GSM1523544,SRR1610159,,,,,,,,,52,,M,tissue,Blood,B-cell (CD19+),Yes,,,Illumina HiSeq 2000,SE,,,,cancer study,
GSE62245,SRR1610167,,,,GSM1523550,SRR1610165,,,,,,,,,53,,F,tissue,Blood,B-cell (CD19+),Yes,,,Illumina HiSeq 2000,SE,,,,cancer study,
GSE62245,SRR1610172,,,,GSM1523556,SRR1610171,,,,,,,,,40,,M,tissue,Blood,B-cell (CD19+),Yes,,,Illumina HiSeq 2000,SE,,,,cancer study,
GSE62245,SRR1610176,,,,GSM1523559,SRR1610174,,,,,,,,,78,,M,tissue,Blood,B-cell (CD19+),Yes,,,Illumina HiSeq 2000,SE,,,,cancer study,
GSE62245,SRR1610182,,,,GSM1523565,SRR1610180,,,,,,,,,63,,F,tissue,Blood,B-cell (CD19+),Yes,,,Illumina HiSeq 2000,SE,,,,cancer study,
GSE62245,SRR1610187,,,,GSM1523571,SRR1610186,,,,,,,,,63,,F,tissue,Blood,B-cell (CD19+),Yes,,,Illumina HiSeq 2000,SE,,,,cancer study,
GSE62245,SRR1610189,,,,GSM1523573,SRR1610188,,,,,,,,,61,,M,tissue,Blood,B-cell (CD19+),Yes,,,Illumina HiSeq 2000,SE,,,,cancer study,
GSE62492,SRR1616000,,GSM1527826,SRR1615988,,,GSM1527828,SRR1615990,,GSM1527832,SRR1615994,,GSM1527830,SRR1615992,,,,cell line,Prostate,LNCAP,,,control,Illumina Genome Analyzer IIx,SE,,,,androgen receptor study,
GSE62492,SRR1616000,,GSM1527827,SRR1615989,,,GSM1527829,SRR1615991,,GSM1527833,SRR1615995,,GSM1527831,SRR1615993,,,,cell line,Prostate,LNCAP,,,R1881 treatment,Illumina Genome Analyzer IIx,SE,,,,androgen receptor study,
GSE63938,SRR5104289,,GSM2427965,SRR5104293,,,,,,,,,,,,,,cell line,Pluripotent stem cell,iPS cells,,,,Illumina HiSeq 2500,SE,,,,,
GSE64504,SRR1734729,,GSM1572770,SRR1734730,,,,,,,,,,,,,,cell line,Blood,OCI-LY1,,,,Illumina HiSeq 2500,SE,,2,,technical replicate study,input from lane 3
GSE64504,SRR1734729,,GSM1572771,SRR1734731,,,,,,,,,,,,,,cell line,Blood,OCI-LY1,,,,Illumina HiSeq 2500,SE,,1,,technical replicate study,input from lane 3
GSE64504,SRR1734736,,GSM1572777,SRR1734737,,,,,,,,,,,,,,cell line,Blood,OCI-LY1,,,,Illumina HiSeq 2500,SE,,5,,technical replicate study,input from lane 5
GSE64504,SRR1734736,,GSM1572778,SRR1734738,,,,,,,,,,,,,,cell line,Blood,OCI-LY1,,,,Illumina HiSeq 2500,SE,,4,,technical replicate study,input from lane 5
GSE64504,SRR1734736,,GSM1572779,SRR1734739,,,,,,,,,,,,,,cell line,Blood,OCI-LY1,,,,Illumina HiSeq 2500,SE,,3,,technical replicate study,input from lane 5
GSE64504,SRR1734736,,GSM1572780,SRR1734740,,,,,,,,,,,,,,cell line,Blood,OCI-LY1,,,,Illumina HiSeq 2500,SE,,2,,technical replicate study,input from lane 5
GSE64504,SRR1734736,,GSM1572781,SRR1734741,,,,,,,,,,,,,,cell line,Blood,OCI-LY1,,,,Illumina HiSeq 2500,SE,,1,,technical replicate study,input from lane 5
GSE64504,SRR1734742,,GSM1572783,SRR1734743,,,,,,,,,,,,,,cell line,Blood,OCI-LY1,,,,Illumina HiSeq 2500,SE,,7,,technical replicate study,input from lane 6
GSE64504,SRR1734742,,GSM1572784,SRR1734744,,,,,,,,,,,,,,cell line,Blood,OCI-LY1,,,,Illumina HiSeq 2500,SE,,6,,technical replicate study,input from lane 6
GSE64504,SRR1734742,,GSM1572785,SRR1734745,,,,,,,,,,,,,,cell line,Blood,OCI-LY1,,,,Illumina HiSeq 2500,SE,,5,,technical replicate study,input from lane 6
GSE64504,SRR1734742,,GSM1572786,SRR1734746,,,,,,,,,,,,,,cell line,Blood,OCI-LY1,,,,Illumina HiSeq 2500,SE,,4,,technical replicate study,input from lane 6
GSE64504,SRR1734742,,GSM1572787,SRR1734747,,,,,,,,,,,,,,cell line,Blood,OCI-LY1,,,,Illumina HiSeq 2500,SE,,3,,technical replicate study,input from lane 6
GSE64504,SRR1734742,,GSM1572788,SRR1734748,,,,,,,,,,,,,,cell line,Blood,OCI-LY1,,,,Illumina HiSeq 2500,SE,,2,,technical replicate study,input from lane 6
GSE64504,SRR1734742,,GSM1572789,SRR1734749,,,,,,,,,,,,,,cell line,Blood,OCI-LY1,,,,Illumina HiSeq 2500,SE,,1,,technical replicate study,input from lane 6
GSE65516,SRR1784182,,GSM1599147,SRR1784166,GSM1599155,SRR2000432,,,,,,,,,,,,cell line,Blood,GM12878,,,,Illumina HiSeq 2500,SE,,,1,cell number study,10000 cells
GSE65516,SRR1784182,,GSM1599148,SRR1784167,GSM1599156,SRR1784175,,,,,,,,,,,,cell line,Blood,GM12878,,,,Illumina HiSeq 2500,SE,,,2,cell number study,10000 cells
