File accession	File format	Output type	Assay term name	Dataset accession	Annotation type	Software used	Encyclopedia Version	Biosample term id	Biosample term name	Biosample type	Life stage	Age	Age units	Organism	Targets	Dataset date released	Project	Lab	md5sum	dbxrefs	File download URL	Assembly	Controlled by	File Status	Derived from	S3 URL	Azure URL	Size	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF073JOU	bigWig	signal p-value	ChIP-seq	ENCSR944MYI	imputation	Avocado	current, ENCODE v5	UBERON:0009834	dorsolateral prefrontal cortex	tissue				Homo sapiens	H3K36me3-human	2020-02-21	ENCODE	Bill Noble, UW	3986b532c539f89a049c4c30c18898fa		https://www.encodeproject.org/files/ENCFF073JOU/@@download/ENCFF073JOU.bigWig	GRCh38		released		https://encode-public.s3.amazonaws.com/2019/12/26/649d7fc9-533e-4962-b7eb-7c1cd14d93a9/ENCFF073JOU.bigWig	https://datasetencode.blob.core.windows.net/dataset/2019/12/26/649d7fc9-533e-4962-b7eb-7c1cd14d93a9/ENCFF073JOU.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	629501274			
ENCFF090WXN	bigWig	signal p-value	ChIP-seq	ENCSR734MFH	imputation	Avocado	current, ENCODE v5	EFO:0002059	HT1080	cell line				Homo sapiens	H3K27ac-human	2020-02-21	ENCODE	Bill Noble, UW	20d81ced0c80cd877c12a69edcaa4cfb		https://www.encodeproject.org/files/ENCFF090WXN/@@download/ENCFF090WXN.bigWig	GRCh38		released		https://encode-public.s3.amazonaws.com/2019/12/26/05a21ca5-a04d-401c-a0de-9a511763e580/ENCFF090WXN.bigWig	https://datasetencode.blob.core.windows.net/dataset/2019/12/26/05a21ca5-a04d-401c-a0de-9a511763e580/ENCFF090WXN.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	643162337			
ENCFF680ZJS	bigWig	signal p-value	ChIP-seq	ENCSR590XMB	imputation	Avocado	current, ENCODE v5	EFO:0001221	NCI-H929	cell line				Homo sapiens	H3K4me3-human	2020-02-21	ENCODE	Bill Noble, UW	8af780c88c487c1bd4711e430859fa58		https://www.encodeproject.org/files/ENCFF680ZJS/@@download/ENCFF680ZJS.bigWig	GRCh38		released		https://encode-public.s3.amazonaws.com/2019/12/29/77969ac3-6cc8-4877-9261-b6dcfe431d91/ENCFF680ZJS.bigWig	https://datasetencode.blob.core.windows.net/dataset/2019/12/29/77969ac3-6cc8-4877-9261-b6dcfe431d91/ENCFF680ZJS.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	643487040			
ENCFF803EHI	bigWig	signal p-value	ChIP-seq	ENCSR019JBO	imputation	Avocado	current, ENCODE v5	EFO:0002059	HT1080	cell line				Homo sapiens	H3K4me3-human	2020-02-21	ENCODE	Bill Noble, UW	1adb8e245341051319078d79a359533e		https://www.encodeproject.org/files/ENCFF803EHI/@@download/ENCFF803EHI.bigWig	GRCh38		released		https://encode-public.s3.amazonaws.com/2019/12/26/82dcb5ca-e532-402a-9171-8be9348da26d/ENCFF803EHI.bigWig	https://datasetencode.blob.core.windows.net/dataset/2019/12/26/82dcb5ca-e532-402a-9171-8be9348da26d/ENCFF803EHI.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	643909846			
ENCFF253CUI	bigWig	signal p-value	ChIP-seq	ENCSR144TZE	imputation	Avocado	current, ENCODE v5	UBERON:0002106	spleen	tissue				Homo sapiens	H3K27me3-human	2020-02-21	ENCODE	Bill Noble, UW	7c3b4d4f015416ccf4877e00412fd33a		https://www.encodeproject.org/files/ENCFF253CUI/@@download/ENCFF253CUI.bigWig	GRCh38		released		https://encode-public.s3.amazonaws.com/2019/12/28/1254742d-3e92-4b62-9cb5-20ab4558ee68/ENCFF253CUI.bigWig	https://datasetencode.blob.core.windows.net/dataset/2019/12/28/1254742d-3e92-4b62-9cb5-20ab4558ee68/ENCFF253CUI.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	632361274			
ENCFF657XAA	bigWig	signal p-value	ChIP-seq	ENCSR992ZOG	imputation	Avocado	current, ENCODE v5	CL:0000192	smooth muscle cell	in vitro differentiated cells				Homo sapiens	H3K36me3-human	2020-02-21	ENCODE	Bill Noble, UW	d7983241411898581811025d3f8c9de1		https://www.encodeproject.org/files/ENCFF657XAA/@@download/ENCFF657XAA.bigWig	GRCh38		released		https://encode-public.s3.amazonaws.com/2019/12/31/513342c7-fa88-4d48-bbfc-d116796919d9/ENCFF657XAA.bigWig	https://datasetencode.blob.core.windows.net/dataset/2019/12/31/513342c7-fa88-4d48-bbfc-d116796919d9/ENCFF657XAA.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	636915968			
ENCFF753YGQ	bigWig	signal p-value	ChIP-seq	ENCSR710RKW	imputation	Avocado	current, ENCODE v5	UBERON:0001157	transverse colon	tissue				Homo sapiens	H3K9ac-human	2020-02-21	ENCODE	Bill Noble, UW	f8b1d371c2dc55c10bc2eb7b0455fd08		https://www.encodeproject.org/files/ENCFF753YGQ/@@download/ENCFF753YGQ.bigWig	GRCh38		released		https://encode-public.s3.amazonaws.com/2019/12/26/2d88465f-3f67-48e7-94b9-28d0b447296b/ENCFF753YGQ.bigWig	https://datasetencode.blob.core.windows.net/dataset/2019/12/26/2d88465f-3f67-48e7-94b9-28d0b447296b/ENCFF753YGQ.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	623098934			
ENCFF504ZPQ	bigWig	signal p-value	ChIP-seq	ENCSR551IKH	imputation	Avocado	current, ENCODE v5	CL:0000192	smooth muscle cell	in vitro differentiated cells				Homo sapiens	H3K4me3-human	2020-02-21	ENCODE	Bill Noble, UW	4a06c732b6aaec4cb1fd7d447649ea40		https://www.encodeproject.org/files/ENCFF504ZPQ/@@download/ENCFF504ZPQ.bigWig	GRCh38		released		https://encode-public.s3.amazonaws.com/2019/12/31/f5f48130-1700-44f9-9bff-be936a57f203/ENCFF504ZPQ.bigWig	https://datasetencode.blob.core.windows.net/dataset/2019/12/31/f5f48130-1700-44f9-9bff-be936a57f203/ENCFF504ZPQ.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	646937499			
ENCFF782VTW	bigWig	signal p-value	ChIP-seq	ENCSR428YYP	imputation	Avocado	current, ENCODE v5	UBERON:0002084	heart left ventricle	tissue				Homo sapiens	H3K27me3-human	2020-02-21	ENCODE	Bill Noble, UW	33ace942429098648f63cf4d5c4e5374		https://www.encodeproject.org/files/ENCFF782VTW/@@download/ENCFF782VTW.bigWig	GRCh38		released		https://encode-public.s3.amazonaws.com/2019/12/26/96f69163-9ef6-4fab-b5e6-45feb131844e/ENCFF782VTW.bigWig	https://datasetencode.blob.core.windows.net/dataset/2019/12/26/96f69163-9ef6-4fab-b5e6-45feb131844e/ENCFF782VTW.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	626216562			
ENCFF291PLN	bigWig	signal p-value	ChIP-seq	ENCSR187LBJ	imputation	Avocado	current, ENCODE v5	UBERON:0002106	spleen	tissue				Homo sapiens	H3K4me3-human	2020-02-21	ENCODE	Bill Noble, UW	27ffbb3cb97c07fc4610784d6518a67a		https://www.encodeproject.org/files/ENCFF291PLN/@@download/ENCFF291PLN.bigWig	GRCh38		released		https://encode-public.s3.amazonaws.com/2020/01/02/e9b4a32c-0650-4803-92d7-9821d8624cfb/ENCFF291PLN.bigWig	https://datasetencode.blob.core.windows.net/dataset/2020/01/02/e9b4a32c-0650-4803-92d7-9821d8624cfb/ENCFF291PLN.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	623154502			
ENCFF388AGO	bigWig	signal p-value	ChIP-seq	ENCSR497KFW	imputation	Avocado	current, ENCODE v5	EFO:0007070	ACC112	cell line				Homo sapiens	H3K27me3-human	2020-02-21	ENCODE	Bill Noble, UW	ec9328456edcf0a9973298328a07a31c		https://www.encodeproject.org/files/ENCFF388AGO/@@download/ENCFF388AGO.bigWig	GRCh38		released		https://encode-public.s3.amazonaws.com/2019/12/25/ad33803c-01c4-4cc2-9ef3-a62d0d60a1e5/ENCFF388AGO.bigWig	https://datasetencode.blob.core.windows.net/dataset/2019/12/25/ad33803c-01c4-4cc2-9ef3-a62d0d60a1e5/ENCFF388AGO.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	657078257			
ENCFF783AQP	bigWig	signal p-value	ChIP-seq	ENCSR856MPX	imputation	Avocado	current, ENCODE v5	UBERON:0003124	chorion	tissue				Homo sapiens	H3K4me3-human	2020-02-21	ENCODE	Bill Noble, UW	62a90854e5cbcb9156a7919ad981384a		https://www.encodeproject.org/files/ENCFF783AQP/@@download/ENCFF783AQP.bigWig	GRCh38		released		https://encode-public.s3.amazonaws.com/2019/12/26/9e37954f-e374-4084-9bfb-15d704cbd0f0/ENCFF783AQP.bigWig	https://datasetencode.blob.core.windows.net/dataset/2019/12/26/9e37954f-e374-4084-9bfb-15d704cbd0f0/ENCFF783AQP.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	614861209			
ENCFF821MQH	bigWig	signal p-value	ChIP-seq	ENCSR335ZNK	imputation	Avocado	current, ENCODE v5	EFO:0001221	NCI-H929	cell line				Homo sapiens	H3K9me3-human	2020-02-21	ENCODE	Bill Noble, UW	a40549cc32d9c6cebae7d8b7e78abec5		https://www.encodeproject.org/files/ENCFF821MQH/@@download/ENCFF821MQH.bigWig	GRCh38		released		https://encode-public.s3.amazonaws.com/2019/12/29/94a8e463-6fa4-4b95-ab7a-c9d869494f33/ENCFF821MQH.bigWig	https://datasetencode.blob.core.windows.net/dataset/2019/12/29/94a8e463-6fa4-4b95-ab7a-c9d869494f33/ENCFF821MQH.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	637947137			
ENCFF980AWE	bigWig	signal p-value	ChIP-seq	ENCSR466ARE	imputation	Avocado	current, ENCODE v5	CL:0000312	keratinocyte	primary cell				Homo sapiens	H3K36me3-human	2020-02-21	ENCODE	Bill Noble, UW	621bae71584e59ea0ce701e681990ecb		https://www.encodeproject.org/files/ENCFF980AWE/@@download/ENCFF980AWE.bigWig	GRCh38		released		https://encode-public.s3.amazonaws.com/2020/01/05/7fa8ebef-d7a3-403f-95f9-4774a3d5746c/ENCFF980AWE.bigWig	https://datasetencode.blob.core.windows.net/dataset/2020/01/05/7fa8ebef-d7a3-403f-95f9-4774a3d5746c/ENCFF980AWE.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	633406182			
ENCFF619WWY	bigWig	signal p-value	ChIP-seq	ENCSR185RTR	imputation	Avocado	current, ENCODE v5	UBERON:0002108	small intestine	tissue				Homo sapiens	H3K9ac-human	2020-02-21	ENCODE	Bill Noble, UW	637c2f3e25e44ec2d523206d5639eb4c		https://www.encodeproject.org/files/ENCFF619WWY/@@download/ENCFF619WWY.bigWig	GRCh38		released		https://encode-public.s3.amazonaws.com/2020/01/02/0c899b54-83d9-4961-99f2-e08e23b90212/ENCFF619WWY.bigWig	https://datasetencode.blob.core.windows.net/dataset/2020/01/02/0c899b54-83d9-4961-99f2-e08e23b90212/ENCFF619WWY.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	614996172			
ENCFF741QWJ	bigWig	signal p-value	ChIP-seq	ENCSR477QPK	imputation	Avocado	current, ENCODE v5	EFO:0002784	GM12878	cell line				Homo sapiens	H3K4me3-human	2020-02-21	ENCODE	Bill Noble, UW	32a376a6c095236a847c73b05bdd431c		https://www.encodeproject.org/files/ENCFF741QWJ/@@download/ENCFF741QWJ.bigWig	GRCh38		released		https://encode-public.s3.amazonaws.com/2019/12/27/ba1cfd29-b48f-4e45-819c-4ea44142634b/ENCFF741QWJ.bigWig	https://datasetencode.blob.core.windows.net/dataset/2019/12/27/ba1cfd29-b48f-4e45-819c-4ea44142634b/ENCFF741QWJ.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	630640630			
ENCFF989ZTG	bigWig	signal p-value	ChIP-seq	ENCSR956RGY	imputation	Avocado	current, ENCODE v5	UBERON:0003124	chorion	tissue				Homo sapiens	H3K4me1-human	2020-02-21	ENCODE	Bill Noble, UW	eee8a0771c29ee705deb1ae3209fb1e5		https://www.encodeproject.org/files/ENCFF989ZTG/@@download/ENCFF989ZTG.bigWig	GRCh38		released		https://encode-public.s3.amazonaws.com/2019/12/26/b4838fb0-18ae-4202-bb98-2cc623abe5e4/ENCFF989ZTG.bigWig	https://datasetencode.blob.core.windows.net/dataset/2019/12/26/b4838fb0-18ae-4202-bb98-2cc623abe5e4/ENCFF989ZTG.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	630157706			
ENCFF190CYJ	bigWig	signal p-value	ChIP-seq	ENCSR441ZGZ	imputation	Avocado	current, ENCODE v5	UBERON:0003124	chorion	tissue				Homo sapiens	H3K36me3-human	2020-02-21	ENCODE	Bill Noble, UW	8aaa060cd13a043866c9042e41ab85fb		https://www.encodeproject.org/files/ENCFF190CYJ/@@download/ENCFF190CYJ.bigWig	GRCh38		released		https://encode-public.s3.amazonaws.com/2019/12/26/ed68db44-4153-4348-b151-d9a359bf816d/ENCFF190CYJ.bigWig	https://datasetencode.blob.core.windows.net/dataset/2019/12/26/ed68db44-4153-4348-b151-d9a359bf816d/ENCFF190CYJ.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	621579174			
ENCFF164QYJ	bigWig	signal p-value	ChIP-seq	ENCSR701UWN	imputation	Avocado	current, ENCODE v5	UBERON:0001159	sigmoid colon	tissue				Homo sapiens	H3K27me3-human	2020-02-21	ENCODE	Bill Noble, UW	f643033e893e9c69096b4385e024c726		https://www.encodeproject.org/files/ENCFF164QYJ/@@download/ENCFF164QYJ.bigWig	GRCh38		released		https://encode-public.s3.amazonaws.com/2020/01/01/f836099d-3eab-43ec-87c4-a8f4ceb7d32e/ENCFF164QYJ.bigWig	https://datasetencode.blob.core.windows.net/dataset/2020/01/01/f836099d-3eab-43ec-87c4-a8f4ceb7d32e/ENCFF164QYJ.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	627420254			
ENCFF821PDY	bigWig	signal p-value	ChIP-seq	ENCSR261VZA	imputation	Avocado	current, ENCODE v5	UBERON:0014455	subcutaneous abdominal adipose tissue	tissue				Homo sapiens	H3K27me3-human	2020-02-21	ENCODE	Bill Noble, UW	b8cbdbb9e9736961affd0b0d79655741		https://www.encodeproject.org/files/ENCFF821PDY/@@download/ENCFF821PDY.bigWig	GRCh38		released		https://encode-public.s3.amazonaws.com/2019/12/27/d6e36ee9-cff9-419a-97de-42f12e087fed/ENCFF821PDY.bigWig	https://datasetencode.blob.core.windows.net/dataset/2019/12/27/d6e36ee9-cff9-419a-97de-42f12e087fed/ENCFF821PDY.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	638311187			
ENCFF450KTM	bigWig	signal p-value	ChIP-seq	ENCSR221SDC	imputation	Avocado	current, ENCODE v5	UBERON:0014455	subcutaneous abdominal adipose tissue	tissue				Homo sapiens	H3K4me3-human	2020-02-21	ENCODE	Bill Noble, UW	8ad7dcf8dfd0e0fc6dc3bdadc06dda55		https://www.encodeproject.org/files/ENCFF450KTM/@@download/ENCFF450KTM.bigWig	GRCh38		released		https://encode-public.s3.amazonaws.com/2019/12/27/aad59bdf-a7b4-48a6-bfb7-573c69316bbe/ENCFF450KTM.bigWig	https://datasetencode.blob.core.windows.net/dataset/2019/12/27/aad59bdf-a7b4-48a6-bfb7-573c69316bbe/ENCFF450KTM.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	623676383			
ENCFF892XLF	bigWig	signal p-value	ChIP-seq	ENCSR338IPP	imputation	Avocado	current, ENCODE v5	UBERON:0002370	thymus	tissue				Homo sapiens	H3K27ac-human	2020-02-21	ENCODE	Bill Noble, UW	c996d7c6a26c6158cc4cfce137aff0a9		https://www.encodeproject.org/files/ENCFF892XLF/@@download/ENCFF892XLF.bigWig	GRCh38		released		https://encode-public.s3.amazonaws.com/2019/12/31/f597b867-6906-4c08-a910-b45d2d2017d8/ENCFF892XLF.bigWig	https://datasetencode.blob.core.windows.net/dataset/2019/12/31/f597b867-6906-4c08-a910-b45d2d2017d8/ENCFF892XLF.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	609859785			
ENCFF371GJC	bigWig	signal p-value	ChIP-seq	ENCSR817EFT	imputation	Avocado	current, ENCODE v5	CL:0000136	adipocyte	in vitro differentiated cells				Homo sapiens	H3K4me3-human	2020-02-21	ENCODE	Bill Noble, UW	e6321df39b6c83f8b400a3e3ea89c6d8		https://www.encodeproject.org/files/ENCFF371GJC/@@download/ENCFF371GJC.bigWig	GRCh38		released		https://encode-public.s3.amazonaws.com/2020/01/01/c2c77b9a-2283-40f0-bb2d-03ad6edf8283/ENCFF371GJC.bigWig	https://datasetencode.blob.core.windows.net/dataset/2020/01/01/c2c77b9a-2283-40f0-bb2d-03ad6edf8283/ENCFF371GJC.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	648791629			
ENCFF870FHN	bigWig	signal p-value	ChIP-seq	ENCSR275GZE	imputation	Avocado	current, ENCODE v5	UBERON:0002080	heart right ventricle	tissue				Homo sapiens	H3K9ac-human	2020-02-21	ENCODE	Bill Noble, UW	de9284ec50818841eed418e684abfcec		https://www.encodeproject.org/files/ENCFF870FHN/@@download/ENCFF870FHN.bigWig	GRCh38		released		https://encode-public.s3.amazonaws.com/2020/01/02/1fc07411-2e41-47b8-bd56-dc20d8110319/ENCFF870FHN.bigWig	https://datasetencode.blob.core.windows.net/dataset/2020/01/02/1fc07411-2e41-47b8-bd56-dc20d8110319/ENCFF870FHN.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	609696029			
